KEY,FREQ,REF_AREA,BS_REP_SECTOR,BS_ITEM,MATURITY_NOT_IRATE,DATA_TYPE_MIR,AMOUNT_CAT,BS_COUNT_SECTOR,CURRENCY_TRANS,IR_BUS_COV,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-05,57675.76,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-06,56856.12,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-07,69481.31,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-08,54954.53,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-09,57528.63,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-10,63116.75,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-11,58748.93,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2019-12,67661.91,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2020-01,56547.38,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
MIR.M.U2.B.A2C.A.B.A.2250.EUR.P,M,U2,B,A2C,A,B,A,2250,EUR,P,2020-02,55616.58,A,F,,,P1M,,S,,,,,,,,,,0,,4F0,Bank business volumes - loans to households for house purchase (pure new loans) ,"Euro area (changing composition), Business volume (outstanding amount / new business), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total initial rate fixation, Pure new loans business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",EUR,6
