specification,response,horizon,nobs,hac_bandwidth,residual_mean,residual_std,jarque_bera_stat,breusch_pagan_lm_stat,max_leverage,mean_leverage,max_abs_standardized_residual,outlier_count_abs_std_gt_2,max_cooks_distance,residual_autocorr_lag_1,residual_autocorr_lag_2,residual_autocorr_lag_4,residual_autocorr_lag_8
robustness,ln_hh_loans_ea_stock,16,65,17,1.8653263579856864e-05,0.01616026361074375,0.09458046354989433,22.76576355236423,0.6837967058043786,0.1538461539112856,2.3572591691606215,4,0.7450953740490686,0.6229218513228925,0.21424934542495294,-0.12938300849923395,-0.289254587800408
robustness,ln_nfc_loans_ea_stock,0,81,1,-1.1230760836457212e-06,0.008491524352092666,21.90775562750685,17.640889423214784,0.5778110766817361,0.12345679002343,3.406570273321995,4,0.20725880908255265,0.02029038585297411,-0.12731790271522678,-0.058088979554236156,-0.04322387450893756
robustness,ln_nfc_loans_ea_stock,1,80,2,-2.7617958482696603e-06,0.01253797309511632,0.8031607511324217,16.92259615058047,0.5817742749993986,0.12499999959963688,2.9205313692042125,4,0.769496399944886,0.41982623960497023,-0.029654834083785536,-0.008351352930827135,-0.1029518275962909
robustness,ln_nfc_loans_ea_stock,2,79,3,-2.3190293113129696e-06,0.013790785481230887,1.3231994100199707,18.56934680347791,0.5867152483444311,0.12658227829168803,2.491116049639107,4,0.717181144845266,0.5694338930855821,0.17479601831074168,-0.026648874400848437,-0.058963345494599806
robustness,ln_nfc_loans_ea_stock,4,77,5,6.421115810748848e-07,0.019342378954436152,0.0953219725938847,32.07195164355204,0.5916002189556968,0.12987012983237672,2.471278911375844,6,1.3538821691138772,0.49615655912928985,0.11713673052502493,0.0464523546431993,-0.18109721667052556
robustness,ln_nfc_loans_ea_stock,8,73,9,2.035245000326004e-05,0.02915370687818706,35.37841894221748,26.996598277770804,0.6009570545168588,0.13698630131804723,4.102444832016983,3,1.264406023647076,0.507277613071193,0.1674369512226736,-0.048268470732728726,-0.1345842179642281
robustness,ln_nfc_loans_ea_stock,12,69,13,2.9210935008758145e-05,0.031206148731687085,13.10902535311269,28.357542382038332,0.6107646310131836,0.14492753645360285,3.6317210594464355,3,1.0657125833955092,0.4974805152661333,0.20498406228097568,-0.029992635018070805,-0.2806595307253107
robustness,ln_nfc_loans_ea_stock,16,65,17,3.1835575797158816e-05,0.027172654561925882,0.3860452834023006,18.319499635311487,0.6837967058043786,0.1538461539112856,2.5417451316992032,3,0.8662858097490805,0.5235645327909461,0.19924450776916658,-0.15941136911353748,-0.25547270347800266
robustness,ln_house_price_de_real,0,81,1,-5.730629699907017e-07,0.010740302584932545,9.581257088058814,28.340227957899785,0.5778110766817361,0.12345679002343,3.6466455066323458,6,0.5330811134797544,-0.02886226184069869,-0.23848185694927063,0.16879787825481865,-0.05422296205224723
robustness,ln_house_price_de_real,1,80,2,-2.440788467844308e-06,0.016996024647224692,3.905650803578859,40.632699014455525,0.5817742749993986,0.12499999959963688,3.3629293595546477,5,0.43968635681891133,0.3361301209664692,-0.02739844043660143,0.11352673455753848,-0.13267922990602238
robustness,ln_house_price_de_real,2,79,3,-3.948221452967704e-06,0.022832920867412062,2.7547331969454603,46.87591375782943,0.5867152483444311,0.12658227829168803,2.9609967554621655,4,0.25158940912508776,0.5617485064433541,0.2915228899752213,0.03612766127119855,-0.16716676343832199
robustness,ln_house_price_de_real,4,77,5,-9.088815892290768e-06,0.03982425981638131,9.83706420287242,41.98351637093307,0.5916002189556968,0.12987012983237672,2.9783798744550327,7,0.472495657917077,0.712199540632112,0.46418582315394735,0.1258322498989119,-0.19317288268243948
robustness,ln_house_price_de_real,8,73,9,-2.1837052815051236e-05,0.05876691983385524,6.667722268489313,28.060367032784928,0.6009570545168588,0.13698630131804723,2.782927003809399,6,0.24832126434935,0.8330276340751279,0.6900862059129234,0.3555683818604725,-0.3109799161083779
robustness,ln_house_price_de_real,12,69,13,-1.6802883316606392e-05,0.05085619354721773,6.297086454823769,12.924651280996496,0.6107646310131836,0.14492753645360285,2.5471358466508667,5,0.1127980969923996,0.7900823450789921,0.6042067735127563,0.33684229964728785,-0.2095986893546493
robustness,ln_house_price_de_real,16,65,17,-9.789814427648617e-07,0.04601479837913957,4.217261942610143,11.951227504427976,0.6837967058043786,0.1538461539112856,2.144728997758709,1,0.18581065101635957,0.7708972429613956,0.48536660120455954,0.24294015298387905,-0.27039826695662317
robustness,ln_compensation_ea20_real,0,81,1,1.4857934207417593e-06,0.010883582670511273,224.22210721956083,44.51280086671158,0.5778110766817361,0.12345679002343,5.110985185959178,3,1.850304847837097,-0.06902772105021254,-0.23362466256662975,0.2583879678294545,0.05062570661618065
robustness,ln_compensation_ea20_real,1,80,2,3.6940305701444257e-06,0.011048052788310144,66.46354751706396,23.507591142443836,0.5817742749993986,0.12499999959963688,4.023787001237844,4,0.9019040879648579,0.3945901624383139,-0.12718868254034207,0.056346591547789114,0.16837930837490278
robustness,ln_compensation_ea20_real,2,79,3,3.5452514714238693e-06,0.011453981262419428,31.820979902630146,26.91917232761164,0.5867152483444311,0.12658227829168803,3.535538551320848,5,0.5730174792256053,0.6294912974322157,0.2566960084317739,-0.1747559092293679,-0.014958295732403837
robustness,ln_compensation_ea20_real,4,77,5,4.098125723604235e-06,0.013794738512104632,8.69838953814754,24.663252929670126,0.5916002189556968,0.12987012983237672,3.431897100779691,3,0.8378342343903885,0.5128312459874927,0.2664049811882325,0.07962749058281164,-0.11997835329310867
robustness,ln_compensation_ea20_real,8,73,9,3.5473074651362624e-06,0.011307796455315298,13.23919974193131,6.324535391708064,0.6009570545168588,0.13698630131804723,3.7837994837980804,4,0.17169125621533873,0.3481130189071748,0.10142428970929196,0.1944566446167263,-0.05231569973303951
robustness,ln_compensation_ea20_real,12,69,13,9.846382577423192e-06,0.014448757692846297,29.237275503786876,9.262056748384614,0.6107646310131836,0.14492753645360285,3.1563870326016112,5,0.47405743714661375,0.49171983675958375,0.2267803009393232,-0.059457902281751414,-0.19762928887679626
robustness,ln_compensation_ea20_real,16,65,17,1.3758634276404996e-05,0.016924734312214276,4.000350915179836,23.438613757837246,0.6837967058043786,0.1538461539112856,2.617674164568453,3,0.5001111898982132,0.5588152566783888,0.429872567415507,0.14179518296247826,-0.3853982663277056
robustness,ln_dax_real_de,0,81,1,1.7589757358635977e-05,0.09752749986328572,6.85031574491285,13.338948062540922,0.5778110766817361,0.12345679002343,3.0717570934980065,4,0.7344374223273415,-0.02943240153333564,-0.14124177476487515,-0.11385765440935221,-0.1278356864898922
robustness,ln_dax_real_de,1,80,2,4.625410097380544e-05,0.13953063392702397,0.7627601161346854,19.773881329011445,0.5817742749993986,0.12499999959963688,2.5612953243348073,3,0.3391951377855682,0.3744906977260077,-0.12201892220831041,-0.043103437630396584,-0.25195057090048295
robustness,ln_dax_real_de,2,79,3,6.392867685577468e-05,0.15465939494337605,1.054525268602814,21.37342132561911,0.5867152483444311,0.12658227829168803,2.501648203131913,3,0.2053048454848507,0.5827841433342925,0.2037114778913315,-0.1785976974329828,-0.25448393370858363
robustness,ln_dax_real_de,4,77,5,7.282731068881419e-05,0.18872318352595055,14.451648167323324,18.61403424376533,0.5916002189556968,0.12987012983237672,3.6479031227990615,4,0.18688960780734995,0.6742117633859002,0.35904340983787214,-0.24355753784626796,-0.38444235206401584
robustness,ln_dax_real_de,8,73,9,3.6838407189331185e-05,0.1637018356480825,1.7230235883855358,20.464533273707744,0.6009570545168588,0.13698630131804723,2.858365218889802,3,0.1967553212901147,0.4095513716566636,0.2970033845468552,-0.19458011537476802,-0.39782822436447013
robustness,ln_dax_real_de,12,69,13,4.152934245839728e-06,0.1181421763493436,0.5598656349883209,19.044996081257686,0.6107646310131836,0.14492753645360285,2.653299353297658,3,0.3773371061659304,0.2542842560076937,-0.12282358425232841,-0.15598672007916606,-0.034225238300316284
robustness,ln_dax_real_de,16,65,17,5.76218261134802e-05,0.11917488829005488,2.0272031530033705,11.666589184007686,0.6837967058043786,0.1538461539112856,2.1403984954433826,4,0.19584164774568438,0.3768274544736961,0.05442185017334937,-0.18886046257654795,0.016999204461785815
