sample,system,nobs,sample_start,sample_end,variables,det_order,deterministic,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,1,3,18.938615804248442,24.2761,False,12.000382305562484,17.7961,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,1,4,6.93823349868596,12.3212,False,6.48929895477572,11.2246,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,1,5,0.4489345439102404,4.1296,False,0.4489345439102404,4.1296,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,0,105.78168568490291,83.9383,True,43.66635563446233,36.6301,True,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,1,62.11533005044059,60.0627,True,27.1124145072012,30.4428,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,2,35.00291554323939,40.1749,False,16.327314781979904,24.1592,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,3,18.67560076125948,24.2761,False,12.07584379100552,17.7961,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,4,6.599756970253963,12.3212,False,6.287963621845378,11.2246,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",-1,none,2,5,0.311793348408585,4.1296,False,0.311793348408585,4.1296,False,2,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,0,130.65550340486993,95.7542,True,61.64844114275867,40.0763,True,1,1,
