"variable","observations","missing","start","end"
"weighted_composite_monthly_abs_sum",205,45,"2005-01-31","2025-10-31"
"weighted_composite_monthly_cumulative",250,0,"2005-01-31","2025-10-31"
"ecb_assets_ea_trillions",250,0,"2005-01-31","2025-10-31"
"dax_volume",250,0,"2005-01-31","2025-10-31"
"ln_hicp_de",250,0,"2005-01-31","2025-10-31"
"ln_hicp_ea20",250,0,"2005-01-31","2025-10-31"
"ln_house_price_de_q_observed",83,167,"2005-03-31","2025-09-30"
"ln_compensation_ea20_nominal_q_observed",83,167,"2005-03-31","2025-09-30"
"d_bls_credit_standards_mortgage_q_observed",0,250,NA,NA
"d_bls_credit_standards_nfc_q_observed",0,250,NA,NA
"d_bls_credit_standards_consumer_q_observed",0,250,NA,NA
"d_bls_loan_demand_mortgage_q_observed",0,250,NA,NA
"d_bls_loan_demand_nfc_q_observed",0,250,NA,NA
"d_bls_loan_demand_consumer_q_observed",0,250,NA,NA
"d_ln_dax_close",249,1,"2005-02-28","2025-10-31"
"d_ln_hicp_de",249,1,"2005-02-28","2025-10-31"
"d_ln_hicp_ea20",249,1,"2005-02-28","2025-10-31"
