quarter,event_count,date,regime,identification_regime,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2008Q2,3,2008-06-30,pre_gfc,pre_qe,83.27994600115458,10.411519314123604,10.411519314123604,-0.4067301541644882,-1.1360711110107222,-1.1360711110107222,58.164272698035305,8.953786654407473,8.953786654407473,,,
2008Q3,3,2008-09-30,gfc,pre_qe,15.336767553203343,8.302393908977676,5.534929272651784,-1.5269522359137526,-2.668112193807643,-1.7787414625384286,-410.2260367467944,-62.56672139503412,-41.711147596689415,,,
2008Q4,4,2008-12-31,gfc,pre_qe,-28.72352091686351,-7.93543012281257,-5.290286748541713,13.149672624447668,8.284777754509733,5.523185169673155,9.025151866275346,4.700589317216875,3.1337262114779163,,,
2009Q1,3,2009-03-31,gfc,pre_qe,13.883707554855473,-0.508014056253363,-0.3386760375022422,-35.36852794682994,-6.184660704881683,-4.123107136587787,-12.511652870345637,-9.381184806938158,-6.254123204625439,,,
2009Q2,3,2009-06-30,gfc,pre_qe,6.645844284824182,3.3614990140513252,2.2409993427008836,19.921146747522684,6.789878341871701,4.5265855612478,13.951845697066604,0.5983047084975937,0.39886980566506125,,,
2009Q3,3,2009-09-30,gfc,pre_qe,-44.09732584809945,-16.835996034160626,-11.223997356107084,1.76325965014401,1.4565595851756288,0.9710397234504192,4.949634011479242,1.60019241586975,1.066794943913166,,,
2009Q4,3,2009-12-31,gfc,pre_qe,-26.643904440335678,-11.458860013013332,-7.639240008675555,-1.707226930351534,-3.41999282573121,-2.27999521715414,9.39691492777002,6.648934469605864,4.432622979737243,,,
2010Q1,3,2010-03-31,euro_crisis,pre_qe,-1.6638971098578788,-2.0170993743357846,-1.3447329162238564,-0.5240894080758147,-1.9091663858662526,-1.2727775905775018,-3.384479835456764,-3.853857479249106,-2.5692383194994037,,,
2010Q2,3,2010-06-30,euro_crisis,pre_qe,-0.4135437934366468,0.6766311107309999,0.45108740715399964,0.3131341152493393,0.0867931248418361,0.05786208322789088,-0.6001309869855376,-0.9653761208610508,-0.6435840805740339,,,
2010Q3,3,2010-09-30,euro_crisis,pre_qe,7.2689593048938415,3.4750573344709927,2.316704889647329,0.017410211224907494,-0.03442425328368193,-0.0229495021891213,-0.7543410387260412,-1.478072292710837,-0.9853815284738915,,,
2010Q4,3,2010-12-31,euro_crisis,pre_qe,-6.227885153854275,-3.9379001951117156,-2.625266796741144,-0.35833468547019814,-1.2854144355066404,-0.8569429570044269,-0.14259374142944914,-0.626308867861076,-0.4175392452407174,,,
2011Q1,3,2011-03-31,euro_crisis,pre_qe,86.07173327354695,12.33235291383091,8.221568609220606,-0.6622687251446138,-2.251531701202619,-1.5010211341350794,42.57026138489542,16.16257158114074,10.775047720760494,,,
2011Q2,3,2011-06-30,euro_crisis,pre_qe,-28.113175229533518,-5.527226191178685,-3.6848174607857898,-0.42111579188746934,-0.8109945583628214,-0.5406630389085476,-33.87373009190287,-20.547902059796016,-13.698601373197343,,,
2011Q3,3,2011-09-30,euro_crisis,pre_qe,-112.72120076100454,-14.520129231280636,-9.680086154187093,2.952642273924035,3.0624018180458967,2.041601212030598,-29.715844392350064,-14.556390290951112,-9.704260193967407,,,
2011Q4,3,2011-12-31,euro_crisis,pre_qe,-6.260942929918556,-2.1445315384611225,-1.4296876923074149,-46.27911521956975,-0.45205705675793695,-0.3013713711719581,36.534695538324506,21.364512118838864,14.243008079225909,,,
2012Q1,3,2012-03-31,euro_crisis,pre_qe,-0.11058331644933313,-0.5103360186393064,-0.34022401242620426,-0.2570285251640977,-1.0605642225735852,-0.7070428150490569,0.4281615093536058,1.9787246911059952,1.3191497940706636,,,
2012Q2,3,2012-06-30,euro_crisis,pre_qe,1.4389439533521036,2.8332813672717356,1.8888542448478236,0.8858985642854802,0.8853636486554954,0.590242432436997,1.7119899276905608,3.6563535672571006,2.437569044838067,,,
2012Q3,3,2012-09-30,euro_crisis,pre_qe,0.7338356339089871,1.7075870427012156,1.1383913618008106,-98.71396188452908,-14.42068556157339,-9.613790374382258,-0.3912417879313048,-0.8232998867140866,-0.5488665911427244,,,
2012Q4,3,2012-12-31,euro_crisis,pre_qe,0.9736284423225232,1.9842680637808674,1.3228453758539116,0.07105371950166073,0.34961323549033213,0.2330754903268881,-1.9132924215740452,-3.2369624680477957,-2.1579749786985305,,,
2013Q1,3,2013-03-31,euro_crisis,pre_qe,0.32080842513786434,1.3043618946389133,0.8695745964259421,-0.3263162270289165,-1.4803822133523306,-0.9869214755682203,-2.615471710211115,-0.20472883875726833,-0.13648589250484555,,,
2013Q2,3,2013-06-30,euro_crisis,pre_qe,-0.2595043126195322,-1.0371711205047165,-0.691447413669811,-0.13507637114509186,-0.6550726662598566,-0.43671511083990444,7.251788389183901,4.377829076965131,2.918552717976754,,,
2013Q3,3,2013-09-30,euro_crisis,pre_qe,-0.35434164832539694,-1.07406191126816,-0.7160412741787733,-0.29267584013790554,-1.487265740353998,-0.9915104935693319,-1.20849175192776,-0.21579836949325948,-0.14386557966217314,,,
2013Q4,3,2013-12-31,euro_crisis,pre_qe,0.793937119884637,1.3255466386492283,0.8836977590994856,-0.8147011849012741,-1.777431754540723,-1.1849545030271487,2.7823037386914833,3.6265503633383593,2.4177002422255724,,,
2014Q1,3,2014-03-31,euro_crisis,pre_qe,21.143196879356104,10.240483807363779,15.64392150665115,0.3507555377281763,0.8595322303291945,1.6234085790250303,-2.798059905354414,-5.458069334261056,-6.576395017411535,6.770940898961499,7.642807516236189,11.866145909785626
2014Q2,3,2014-06-30,euro_crisis,qe_era,-24.015954089599365,-5.319076915326715,-7.737481960202152,2.5441030115364027,3.5087478179699563,3.8690601986727833,10.707800397717948,1.7121283152285143,4.014515589414993,-3.377113659158593,-6.562905738449495,-7.752384151458257
2014Q3,3,2014-09-30,euro_crisis,qe_era,0.8943931420681374,2.0398463724088947,3.029501271581099,-32.574496887183294,-10.513491982887732,-17.33149376071455,-0.31393833650178543,-1.2052054872118352,-0.9951875788523166,5.408896369724631,5.429428987513555,9.028515694733668
2014Q4,3,2014-12-31,euro_crisis,qe_era,1.3613444670971366,3.2373205933484064,3.1777645087485253,-0.4535082475972421,-1.6382159298436534,-1.507540354925633,-1.1531658054512812,-3.0522906717859524,-3.4026624696958954,1.852429796581251,4.563603276226689,4.894831980732377
2015Q1,2,2015-03-31,qe_era,qe_era,-3.9192747248363498,-3.0483939978167065,-13.142933844818646,-1.4504004392549115,-1.3532518274140604,-4.139993713344793,4.615769421593636,4.550888564373798,19.379104993746274,-50.72063672546369,-13.20283270393655,-63.92346942940024
2015Q2,2,2015-06-30,qe_era,qe_era,0.7069158798311912,0.7459984929350686,4.166033081250232,0.06252984690272478,0.05468558636930421,-1.9685877711481825,-1.0194683515495184,-0.6041964533198825,-7.866391530422215,27.764659843967515,6.2032686747340975,33.96792851870161
