"date","quarter","baseline_sample","robustness_sample","wx_shadow_rate","dfr_eop","dfr_qavg","ecb_assets_ea_stock","ecb_assets_ea_qavg","ecb_assets_ea_trillions","ln_ecb_assets_ea_stock","hh_loans_ea_stock","ln_hh_loans_ea_stock","nfc_loans_ea_stock","ln_nfc_loans_ea_stock","house_price_de","house_price_de_real","ln_house_price_de","ln_house_price_de_real","compensation_ea20_nominal","compensation_ea20_real","ln_compensation_ea20_nominal","ln_compensation_ea20_real","dax_close","dax_real_de","ln_dax_close","ln_dax_real_de","hicp_de","hicp_ea20","hicp_ea","ln_hicp_de","ln_hicp_ea20","credit_standards_enterprise","credit_standards_household","retail_de_mom_pct_qavg","retail_de_chained_index_qavg","dummy_gfc_2008q4","dummy_euro_crisis_2012q3","dummy_qe_launch_2015q1","dummy_covid_2020q2","dummy_2022_tightening_q3","regime_qe_2015_2022q2","regime_post_covid","regime_post_2022_tightening"
2011-09-30,"2011Q3",TRUE,TRUE,0.877451442611098,0.75,0.717391304347826,2288571,2058304.21428571,2.288571,14.6434381632832,5591896.31,15.5368290201631,4814833.65,15.387212054331,103.1,92.494019138756,4.63569939102291,4.52714398446857,87.98,77.8193826104903,4.47710951592057,4.3543905339666,5502.02,4936.02272727273,8.61287057651972,8.50431516996537,111.466666666667,113.056666666667,112.853333333333,4.71372559254244,4.72788916794206,2,9,0,100.044440102782,0,0,0,0,0,0,0,0
2011-12-31,"2011Q4",TRUE,TRUE,-0.0291395258364098,0.25,0.557065217391304,2735628,2430561.53846154,2.735628,14.8218715835682,5601272.41,15.5385043459671,4780389.75,15.3800326388005,103.2,92.1702887764215,4.63666885304746,4.52363783108542,88.4,77.367407666725,4.4818719696436,4.34856560233537,5898.35,5267.95177136052,8.68242792976443,8.56939690780238,111.966666666667,114.26,114.063333333333,4.71820120795014,4.73847655329632,16,18,-0.0666666666666667,99.8082297033014,0,0,0,0,0,0,0,0
2012-03-31,"2012Q1",TRUE,TRUE,-0.326623134197316,0.25,0.25,2964427,2799223.92307692,2.964427,14.9021943171004,5589325.25,15.5363691312267,4757783.2,15.3752924034433,104.1,92.3418095801301,4.64535197562092,4.52549701381264,88.8,77.5591009665774,4.48638664999812,4.35104023885004,6946.83,6162.17918391484,8.84604071939879,8.72618575759051,112.733333333333,114.493333333333,114.293333333333,4.72502514779637,4.74051659713617,35,29,0.1,99.0611418345491,0,0,0,0,0,0,0,0
2012-06-30,"2012Q2",TRUE,TRUE,-0.666140935921221,0.25,0.25,3102227,2996654.46153846,3.102227,14.9476307986357,5601377.52,15.5385231111701,4762357.96,15.3762534733004,105.4,93.027360988526,4.65776263610726,4.53289365406139,89.12,76.7746381805651,4.48998377617897,4.34087435359113,6416.28,5663.08914386584,8.76659378949187,8.641724807446,113.3,116.08,115.863333333333,4.73003916803396,4.75427960857593,9,17,0.233333333333333,100.014712640988,0,0,0,0,0,0,0,0
2012-09-30,"2012Q3",TRUE,TRUE,-1.00998850527785,0,0.0271739130434783,3082432,3080624.92307692,3.082432,14.9412294537611,5590240.01,15.5365327798089,4714446.9,15.3661421607,105.8,92.9973630237328,4.6615505194242,4.53257113816774,89.39,77.098007647414,4.49300881909976,4.34507743908642,7216.15,6342.93876355113,8.8840768486661,8.75509746740964,113.766666666667,115.943333333333,115.723333333333,4.73414956724455,4.75310156600143,10,12,-0.166666666666667,99.6713049691639,0,1,0,0,0,0,0,0
2012-12-31,"2012Q4",TRUE,TRUE,-0.999989083422412,0,0,3018198,3037185.92307692,3.018198,14.9201705225198,5591517.24,15.536761228697,4626923.94,15.3474028294571,106.6,93.3450087565674,4.66908351173174,4.53630240049793,89.59,76.6359670382938,4.49524370660949,4.33906651012631,7612.39,6665.84063047285,8.93753246199585,8.80475135076203,114.2,116.903333333333,116.69,4.73795129722191,4.76134738247127,15,12,-0.166666666666667,99.4361650900558,0,0,0,0,0,0,0,0
2013-03-31,"2013Q1",TRUE,TRUE,-0.680749210871525,0,0,2648126,2777441.46153846,2.648126,14.7893627779886,5566353.17,15.5322506703666,4603030.14,15.3422253706815,107.4,93.5811792041824,4.67656018207476,4.53882928638649,90.09,77.2398616787174,4.50080917066335,4.34691566676013,7795.31,6792.31193726401,8.96127754978385,8.82354665409558,114.766666666667,116.636666666667,116.413333333333,4.74290108167637,4.75906368989131,13,18,0.166666666666667,99.6993662953823,0,0,0,0,0,0,0,0
2013-06-30,"2013Q2",TRUE,TRUE,-0.111821378269082,0,0,2430423,2575734.46153846,2.430423,14.7035758742417,5569348.43,15.5327886266049,4547054.36,15.3299901878709,108.6,94.4074181396697,4.68767140749983,4.54761965205208,90.47,76.8562043382228,4.50501830403765,4.3419361998192,7959.22,6919.05534627644,8.98208628408735,8.84203452863959,115.033333333333,117.713333333333,117.493333333333,4.74522194143585,4.76825229020654,7,14,-0.233333333333333,99.5598871010628,0,0,0,0,0,0,0,0
2013-09-30,"2013Q3",TRUE,TRUE,-0.350294022438867,0,0,2338044,2374666.23076923,2.338044,14.6648252403409,5564212.43,15.531866010664,4491127.83,15.3176144152586,109.6,94.7277441659464,4.69683737451392,4.55100692630238,90.87,77.3339763410967,4.50942991370726,4.34813339771919,8594.4,7428.17631806396,9.05886610735233,8.91303565914079,115.7,117.503333333333,117.28,4.75100063419963,4.76646670197615,6,7,0.366666666666667,100.087356877241,0,0,0,0,0,0,0,0
2013-12-31,"2013Q4",TRUE,TRUE,-0.262228169756954,0,0,2285399,2305988.38461538,2.285399,14.6420511841345,5555023.25,15.5302131664656,4439840.61,15.3061290351154,109.1,94.2684331797235,4.69226489283902,4.54614638470903,91.04,77.2507424692406,4.51129897037802,4.34705652698397,9552.16,8253.59447004608,9.16452258591086,9.01840407778086,115.733333333333,117.85,117.636666666667,4.75128869411809,4.76941262938214,5,3,-0.0333333333333333,100.415351203509,0,0,0,0,0,0,0,0
