date,quarter,regime,event_count,composite_pca_timing_fg_qe,composite_equal_weight_timing_fg_qe,composite_inverse_variance_timing_fg_qe,composite_qe_heavy_timing_fg_qe
2011-06-30,2011Q2,euro_crisis,3,0.6913751229809674,-1.1562137001634278,-0.9676620582773457,-0.6937282200980568
2011-09-30,2011Q3,euro_crisis,3,-1.1540445327351332,-1.576829639551316,-1.9084116299203517,-0.9460977837307898
2011-12-31,2011Q4,euro_crisis,3,-1.9421067881547496,0.6382795904172403,0.09608882401921776,0.3829677542503442
2012-03-31,2012Q1,euro_crisis,3,-0.22819201758544405,0.036842055371059904,-0.027047158468278112,0.022105233222635946
2012-06-30,2012Q2,euro_crisis,3,0.16370600793702172,0.3379146020591509,0.3854998202568769,0.20274876123549057
2012-09-30,2012Q3,euro_crisis,3,0.3267248754854766,0.09151439729124183,0.18368408674427653,0.054908638374745106
2012-12-31,2012Q4,euro_crisis,3,0.551467673803689,0.0218627552195145,0.17679560885152315,0.01311765313170872
2013-03-31,2013Q1,euro_crisis,3,0.21761519815574343,0.08561878182139544,0.14712695665648196,0.05137126909283727
2013-06-30,2013Q2,euro_crisis,3,-0.49061453004602473,0.0880794959399628,-0.04924017003700848,0.052847697563977676
2013-09-30,2013Q3,euro_crisis,3,-0.1502321420562488,-0.08474241534354357,-0.1273281892769291,-0.050845449206126145
2013-12-31,2013Q4,euro_crisis,3,-0.06776366407314258,0.22907474228087824,0.21115047549867852,0.13744484536852694
2014-03-31,2014Q1,euro_crisis,3,2.165726109049669,0.949690795311829,1.4933160049716294,1.0740129976642292
2014-06-30,2014Q2,euro_crisis,3,-1.0965245712840057,-0.6762223513246273,-0.9282956150273876,-0.8372261032093478
2014-09-30,2014Q3,euro_crisis,3,0.5257925706678968,0.39978164355134516,0.5002885797337477,0.5982783580450665
2014-12-31,2014Q4,euro_crisis,3,0.8316785767647018,0.3693916687358617,0.5634340051596881,0.5230148178337579
