quarter,date,regime,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum
2004Q3,2004-09-30,pre_gfc,outside_identification_windows,3,0,-0.6308620423010984,-0.3154310211505492,0.9655740583987449,-0.7214427017977066,-0.24048090059923555,0.8405671669786653,3.1528575022859036,1.5764287511429518,3.1528575022859036,0.0,,,0.011692471809265886,0.003897490603088629,0.3753856235464969
2004Q4,2004-12-31,pre_gfc,outside_identification_windows,3,0,-1.3674771206153404,-0.45582570687178015,3.7859560481355405,-2.242567427908419,-0.7475224759694731,2.242567427908419,3.2722534281848352,1.0907511427282783,3.2722534281848352,0.0,,,-0.20657639216015483,-0.06885879738671828,0.5135529749344186
2005Q1,2005-03-31,pre_gfc,pre_qe,3,0,-0.8151920879277004,-0.2717306959759001,1.1523622530484294,-1.4626864025457558,-0.48756213418191857,1.4626864025457558,-7.267113411184894,-2.4223711370616314,7.267113411184894,0.0,,,-0.9832262937481551,-0.3277420979160517,0.9832262937481551
2005Q2,2005-06-30,pre_gfc,pre_qe,3,0,-0.5737312303352847,-0.1912437434450949,1.0048213733436322,-1.0060530896767266,-0.3353510298922422,1.6205481810177813,0.2515024866760194,0.08383416222533979,5.874513233054573,0.0,,,-0.19757649352415488,-0.06585883117471829,0.45802452853140685
2005Q3,2005-09-30,pre_gfc,pre_qe,3,0,1.1677215068942588,0.5838607534471294,1.1677215068942588,-1.1657138815292183,-0.38857129384307276,1.1657138815292183,0.6121114161430574,0.3060557080715287,6.291822641616773,0.0,,,0.02164197174276289,0.007213990580920963,0.673036205221153
2005Q4,2005-12-31,pre_gfc,pre_qe,3,0,-1.277092252643894,-0.42569741754796464,1.5653531724569882,-2.7328780584284464,-0.9109593528094821,2.7328780584284464,-1.370815889898994,-0.45693862996633133,3.644242427516355,0.0,,,-0.6787038259689793,-0.2262346086563264,0.6787038259689793
2006Q1,2006-03-31,pre_gfc,pre_qe,3,0,-1.153498709903572,-0.38449956996785734,1.5605006431759527,-2.213626333714953,-0.737875444571651,2.213626333714953,2.6623798767148545,0.8874599589049516,7.628626597954479,0.0,,,-0.22372108970208265,-0.07457369656736089,0.8436528495240008
2006Q2,2006-06-30,pre_gfc,pre_qe,3,0,-9.8419349199939,-3.2806449733313,11.751828344439634,-4.403977876956471,-1.4679926256521572,4.403977876956471,-0.012071437063162493,-0.0040238123543874975,0.7890582500397401,0.0,,,-2.1683144857351997,-0.7227714952450666,2.1683144857351997
2006Q3,2006-09-30,pre_gfc,pre_qe,3,1,2.9084835548722507,1.4542417774361254,2.9084835548722507,-2.0564948357363337,-1.0282474178681669,2.0564948357363337,5.821814021029479,2.9109070105147397,5.821814021029479,0.0,,,0.7511922208361055,0.37559611041805274,0.7511922208361055
2006Q4,2006-12-31,pre_gfc,pre_qe,3,0,0.8614444028178438,0.2871481342726146,1.0262282037260164,-1.841927304599592,-0.613975768199864,1.841927304599592,4.093188187700301,1.364396062566767,5.0462197783182905,0.0,,,0.2843468145286656,0.0947822715095552,0.4981297333795007
2007Q1,2007-03-31,pre_gfc,pre_qe,3,0,-4.106902201253294,-1.3689674004177645,6.118655429739333,-1.8254277956989622,-0.6084759318996541,1.8254277956989622,4.771669518114098,1.5905565060380324,11.775963061976446,0.0,,,-0.46576695260326634,-0.15525565086775545,1.0766187527055047
2007Q2,2007-06-30,pre_gfc,pre_qe,3,0,0.5098960889067727,0.16996536296892426,1.4357120332615048,-0.8786301753330578,-0.29287672511101925,0.8786301753330579,-4.491801512021106,-1.497267170673702,5.272536689071077,0.0,,,-0.43836912700330855,-0.14612304233443618,0.43836912700330855
2007Q3,2007-09-30,pre_gfc,pre_qe,3,0,-3.786083161189846,-1.893041580594923,3.786083161189846,-2.7573727172486633,-0.9191242390828878,2.7573727172486633,1.0910042837144402,0.5455021418572201,1.0910042837144402,0.0,,,-1.0574859074811362,-0.3524953024937121,1.0574859074811362
2007Q4,2007-12-31,pre_gfc,pre_qe,3,0,-0.22858437734192605,-0.07619479244730869,2.4612826974575714,-2.4235056267200874,-0.8078352089066958,2.4235056267200874,0.09670229817302278,0.032234099391007597,9.982564971620333,0.0,,,-0.3335176459015849,-0.11117254863386163,0.9838289014897499
2008Q1,2008-03-31,pre_gfc,pre_qe,3,0,0.36963087069349543,0.12321029023116514,6.7318730041502715,-1.131019905269148,-0.37700663508971605,1.2183549005671581,-2.150726064905557,-0.7169086883018524,7.81154636164149,0.0,,,-0.27869614727977143,-0.09289871575992381,1.5787494321617621
2008Q2,2008-06-30,pre_gfc,pre_qe,3,0,10.411519314123604,3.4705064380412014,10.892215130460103,-1.1360711110107222,-0.3786903703369074,1.1360711110107222,8.953786654407473,2.9845955514691576,14.236085046296896,0.0,,,2.3836243736592597,0.7945414578864199,2.8794340422714444
2008Q3,2008-09-30,gfc,pre_qe,3,0,5.534929272651784,1.8449764242172613,6.4110958576393795,-1.7787414625384286,-0.5929138208461429,1.7787414625384286,-41.711147596689415,-13.903715865563138,41.711147596689415,0.0,,,-3.136877766742908,-1.045625922247636,3.1368777667429084
2008Q4,2008-12-31,gfc,pre_qe,4,0,-5.290286748541713,-2.6451433742708566,6.436820304395561,5.523185169673155,2.7615925848365777,5.523185169673155,3.1337262114779163,1.5668631057389582,6.473742708335675,0.0,,,0.11480557033474525,0.05740278516737263,1.7837398339505832
2009Q1,2009-03-31,gfc,pre_qe,3,0,-0.3386760375022422,-0.11289201250074739,13.454501894701286,-4.123107136587787,-1.3743690455292625,10.539154939892498,-6.254123204625439,-2.0847077348751464,6.601047438358559,0.0,,,-1.1470603329509208,-0.3823534443169736,1.2411284609808504
2009Q2,2009-06-30,gfc,pre_qe,3,0,2.2409993427008836,0.7469997809002945,4.013820438969669,4.5265855612478,1.5088618537492666,6.865683872764186,0.39886980566506125,0.13295660188835376,15.100136399079709,0.0,,,0.9733440986147711,0.32444803287159035,2.3992098153510093
2009Q3,2009-09-30,gfc,pre_qe,3,0,-11.223997356107084,-3.7413324520356945,11.223997356107084,0.9710397234504192,0.3236799078168064,2.526121720294928,1.066794943913166,0.355598314637722,10.195988481961793,0.0,,,-1.6197800460045277,-0.5399266820015093,1.852421037498452
