date,month,quarter,regime,identification_regime,event_count,missing_month_flag,timing_factor_event_count,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,timing_factor_monthly_cumulative,target_factor_event_count,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,target_factor_monthly_cumulative,fg_factor_event_count,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,fg_factor_monthly_cumulative,qe_factor_event_count,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,qe_factor_monthly_cumulative,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum,weighted_composite_monthly_cumulative
2014-06-30,2014-06,2014Q2,euro_crisis,qe_era,1,False,1,-5.5772226842257435,-5.5772226842257435,5.5772226842257435,-7.725654743722968,1,0.138566143343459,0.138566143343459,0.138566143343459,-25.317239466675513,1,6.419226129331927,6.419226129331927,6.419226129331927,-29.641313439413018,1,-1.9271725766688967,-1.9271725766688967,1.9271725766688967,0.7199345185244632,-0.4089504293963231,-0.4089504293963231,0.4089504293963231,-7.416374152002326
2014-07-31,2014-07,2014Q3,euro_crisis,qe_era,1,False,1,0.2040338015495623,0.2040338015495623,0.2040338015495623,-7.5216209421734055,1,-0.2806013518392048,-0.2806013518392048,0.2806013518392048,-25.59784081851472,1,-0.8452430709340918,-0.8452430709340918,0.8452430709340918,-30.48655651034711,1,0.1551734757631614,0.1551734757631614,0.1551734757631614,0.8751079942876246,-0.04478982999539445,-0.04478982999539445,0.04478982999539445,-7.4611639819977205
2014-08-31,2014-08,2014Q3,euro_crisis,qe_era,1,False,1,0.1591894356612353,0.1591894356612353,0.1591894356612353,-7.36243150651217,1,-0.49078880152261,-0.49078880152261,0.49078880152261,-26.088629620037327,1,0.1257187168323047,0.1257187168323047,0.1257187168323047,-30.360837793514804,1,0.1925818895241826,0.1925818895241826,0.1925818895241826,1.0676898838118072,1.1416863243622621e-05,1.1416863243622621e-05,1.1416863243622621e-05,-7.461152565134477
2014-09-30,2014-09,2014Q3,euro_crisis,qe_era,1,False,1,0.996674344395132,0.996674344395132,0.996674344395132,-6.365757162117038,1,-6.237604501896674,-6.237604501896674,6.237604501896674,-32.326234121934,1,-0.0839459707061031,-0.0839459707061031,0.0839459707061031,-30.444783764220908,1,3.2718639597216925,3.2718639597216925,3.2718639597216925,4.3395538435334995,-0.16972119669451907,-0.16972119669451907,0.16972119669451907,-7.630873761828997
2014-10-31,2014-10,2014Q4,euro_crisis,qe_era,1,False,1,0.8873769372304838,0.8873769372304838,0.8873769372304838,-5.478380224886554,1,-0.3758322969890151,-0.3758322969890151,0.3758322969890151,-32.70206641892302,1,-1.0105673036610154,-1.0105673036610154,1.0105673036610154,-31.455351067881924,1,0.7741752318079991,0.7741752318079991,0.7741752318079991,5.113729075341499,0.0759573305846606,0.0759573305846606,0.0759573305846606,-7.554916431244336
2014-11-30,2014-11,2014Q4,euro_crisis,qe_era,1,False,1,0.5380397648749047,0.5380397648749047,0.5380397648749047,-4.940340460011649,1,-0.0858242316345797,-0.0858242316345797,0.0858242316345797,-32.7878906505576,1,-1.2789512187028342,-1.2789512187028342,1.2789512187028342,-32.73430228658476,1,1.641773218324401,1.641773218324401,1.641773218324401,6.7555022936658995,0.12195787312968895,0.12195787312968895,0.12195787312968895,-7.432958558114647
2014-12-31,2014-12,2014Q4,euro_crisis,qe_era,1,False,1,0.732797026793549,0.732797026793549,0.732797026793549,-4.2075434332181,1,-0.6304874246055073,-0.6304874246055073,0.6304874246055073,-33.418378075163105,1,0.2546580745065481,0.2546580745065481,0.2546580745065481,-32.479644212078206,1,0.626453734018726,0.626453734018726,0.626453734018726,7.381956027684625,0.10621289050834526,0.10621289050834526,0.10621289050834526,-7.326745667606302
2015-01-31,2015-01,2015Q1,qe_era,qe_era,1,False,1,-1.5183321015779832,-1.5183321015779832,1.5183321015779832,-5.725875534796083,1,-0.0320421539649692,-0.0320421539649692,0.0320421539649692,-33.45042022912807,1,2.175105199842979,2.175105199842979,2.175105199842979,-30.304539012235228,1,-9.228262861022088,-9.228262861022088,9.228262861022088,-1.8463068333374633,-0.8909797900959222,-0.8909797900959222,0.8909797900959222,-8.217725457702224
2015-02-28,2015-02,2015Q1,qe_era,qe_era,0,True,0,,,,-5.725875534796083,0,,,,-33.45042022912807,0,,,,-30.304539012235228,0,,,,-1.8463068333374633,,,,-8.217725457702224
2015-03-31,2015-03,2015Q1,qe_era,qe_era,1,False,1,-1.5300618962387234,-1.5300618962387234,1.5300618962387234,-7.255937431034806,1,-1.3212096734490912,-1.3212096734490912,1.3212096734490912,-34.77162990257716,1,2.3757833645308195,2.3757833645308195,2.3757833645308195,-27.92875564770441,1,-3.9745698429144625,-3.9745698429144625,3.9745698429144625,-5.820876676251926,-0.5157588834553432,-0.5157588834553432,0.5157588834553432,-8.733484341157567
