response,response_label,channel,horizon_months,coefficient,std_error_hac,p_value,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_ci_90_low,bootstrap_ci_90_high,bootstrap_replications,significance_bucket,hac_90_excludes_zero,hac_95_excludes_zero,bootstrap_90_excludes_zero
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,6,0.015172144426633052,0.010524510488864939,0.1494149774097779,-0.0021391348228652542,0.03248342367613136,-0.0054555170864562675,0.03579980593972237,0.0004790024021718148,0.03142101185710005,399,positive_not_significant,False,False,True
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,12,0.025183428265081888,0.011889501585110103,0.03416464145013823,0.005626938460168256,0.04473991806999552,0.0018804333641342028,0.04848642316602957,0.0030198199206415504,0.04874483967811401,399,positive_p05,True,True,True
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,24,0.010420901568808367,0.010517450667272416,0.32177343051486074,-0.006878765307537846,0.02772056844515458,-0.010192922948222329,0.031034726085839064,-0.014405574106804504,0.03634937459835678,399,positive_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,0,-0.00021077185535293446,0.0010025972998758458,0.833491416030727,-0.0018598976604254722,0.0014383539497196032,-0.0021758264541066968,0.0017542827434008277,-0.002027102991933112,0.0015862458132824856,399,negative_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,1,0.0017997850350960872,0.0012806705078359526,0.15991844849167694,-0.0003067304946476632,0.003906300564839838,-0.0007102830363250009,0.004309853106517175,-0.0002755958861309355,0.003798682288305903,399,positive_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,3,0.00012278854574036688,0.0010706290837642978,0.9086922500261964,-0.00163823958580907,0.0018838166772898038,-0.0019756058992387734,0.0022211829907195072,-0.0018182221588879657,0.0021118438320496904,399,positive_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,6,-6.784205278222162e-05,0.0013543487234569077,0.960049065087585,-0.0022955474627174123,0.0021598633571529692,-0.002722316773265558,0.002586632667701115,-0.002337797441583644,0.0024177343580912623,399,negative_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,12,-0.0021210286525604875,0.0016291312496761366,0.19293741902023692,-0.0048007110973702655,0.0005586537922492901,-0.005314067228014446,0.001072009922893471,-0.005225368396710792,0.0009455455610475,399,negative_not_significant,False,False,False
ln_retail_de_chained_index,retail volume,real_activity,24,-0.004229484758454883,0.002190987136404198,0.053557114660882754,-0.007833337896373348,-0.0006256316205364176,-0.008523740636397659,6.47711194878926e-05,-0.007539316947979022,-0.0008725302426386433,399,negative_p10,True,False,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,0,0.048210203999343094,0.021500435483770532,0.024942658112197088,0.012845134712827007,0.08357527328585918,0.0060701247992258345,0.09035028319946035,0.021749113781179746,0.07602874450565883,399,positive_p05,True,True,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,1,0.053610260067175085,0.025700552232645606,0.03698247165642091,0.0113366135126522,0.09588390662169796,0.003238103308399222,0.10398241682595094,0.012993421492657137,0.09604815181201144,399,positive_p05,True,True,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,3,0.13398956788952304,0.035469566160226805,0.00015835168494793972,0.07564732334447878,0.19233181243456732,0.06447049566821784,0.20350864011082825,0.06636927386856133,0.2084490614095644,399,positive_p05,True,True,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,0.1487160814617677,0.043868663738843745,0.0006988500258364318,0.07655855080141605,0.22087361212211937,0.06273508048373573,0.2346970824397997,0.05322789497133916,0.2485752612658607,399,positive_p05,True,True,True
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,12,0.09864276884482844,0.06895826081872992,0.15258198091068892,-0.014783476571125082,0.21206901426078195,-0.03651293879640176,0.23379847648605862,-0.07467779872523586,0.2790856236174668,399,positive_not_significant,False,False,False
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,24,-0.12620504681845857,0.099366870034348,0.20405193220466686,-0.28964900339327143,0.0372389097563543,-0.320960533342253,0.06855043970533586,-0.29579998363188015,0.06072632546139024,399,negative_not_significant,False,False,False
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,0,-0.006966520065712854,0.012397919430704956,0.5741770565692736,-0.02735928280796003,0.013426242676534325,-0.0312659956331239,0.017332955501698194,-0.02338414575641948,0.011389844010025482,399,negative_not_significant,False,False,False
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,1,0.012578058390920093,0.011201563451437795,0.26148668720898194,-0.005846873879704414,0.031002990661544598,-0.009376602544438168,0.034532719326278355,-0.004944554143664552,0.028651747873218305,399,positive_not_significant,False,False,False
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,3,0.0013576594928456512,0.013000698791488291,0.9168283288089385,-0.02002658706723749,0.02274190605292879,-0.024123241912324806,0.026838560898016107,-0.02045752507962443,0.021448024782289483,399,positive_not_significant,False,False,False
