horizon,impulse,response,irf
6,ln_real_income,ln_real_housing,0.12671060130961082
6,ln_real_income,ln_real_income,0.29315334718825936
6,ln_real_income,ln_cpi,-0.00031265499778647263
6,ln_cpi,shadow_rate,22.568753237657234
6,ln_cpi,ln_credit,-0.8383436999560067
6,ln_cpi,ln_real_equity,-0.40828549284984295
6,ln_cpi,ln_real_housing,2.7180419024630615
6,ln_cpi,ln_real_income,-1.0022959584763529
6,ln_cpi,ln_cpi,1.5476614499637678
7,shadow_rate,shadow_rate,1.285931315399646
7,shadow_rate,ln_credit,-0.009019635598609717
7,shadow_rate,ln_real_equity,-0.003643543484852482
7,shadow_rate,ln_real_housing,2.5802292230922683e-05
7,shadow_rate,ln_real_income,-0.008719107759157685
7,shadow_rate,ln_cpi,0.0006962753355173371
7,ln_credit,shadow_rate,-11.274129489030559
7,ln_credit,ln_credit,0.997406374470501
7,ln_credit,ln_real_equity,-1.4097116079344925
7,ln_credit,ln_real_housing,-0.6467971325001491
7,ln_credit,ln_real_income,0.224031661546721
7,ln_credit,ln_cpi,-0.1780303973988673
7,ln_real_equity,shadow_rate,2.6050425823435828
7,ln_real_equity,ln_credit,0.029027558299814987
7,ln_real_equity,ln_real_equity,0.7216543354745479
7,ln_real_equity,ln_real_housing,0.03543700473487169
7,ln_real_equity,ln_real_income,0.02549481729560141
7,ln_real_equity,ln_cpi,0.033673554969141685
7,ln_real_housing,shadow_rate,38.80855195007446
7,ln_real_housing,ln_credit,-0.27224224447658846
7,ln_real_housing,ln_real_equity,1.3863596404595784
7,ln_real_housing,ln_real_housing,4.824810826213717
7,ln_real_housing,ln_real_income,-0.32766252770333526
7,ln_real_housing,ln_cpi,0.21156193422945724
7,ln_real_income,shadow_rate,-10.108464418210119
7,ln_real_income,ln_credit,-0.038491351591172715
7,ln_real_income,ln_real_equity,1.337343984766215
7,ln_real_income,ln_real_housing,0.1779198813353941
7,ln_real_income,ln_real_income,0.26451543659218657
7,ln_real_income,ln_cpi,0.004075819837738463
7,ln_cpi,shadow_rate,28.788135074277918
7,ln_cpi,ln_credit,-0.8213352570579089
7,ln_cpi,ln_real_equity,-1.194963812440031
7,ln_cpi,ln_real_housing,2.2755511001394857
7,ln_cpi,ln_real_income,-0.9361683944511162
7,ln_cpi,ln_cpi,1.5838295752298976
8,shadow_rate,shadow_rate,1.2837391079256897
8,shadow_rate,ln_credit,-0.009620879709131381
8,shadow_rate,ln_real_equity,-0.003782770550527356
8,shadow_rate,ln_real_housing,-0.0014208011900699526
8,shadow_rate,ln_real_income,-0.008570821157261007
8,shadow_rate,ln_cpi,0.0005009964701564293
8,ln_credit,shadow_rate,-12.32971551120943
8,ln_credit,ln_credit,0.9844304633449623
8,ln_credit,ln_real_equity,-1.3581676352273098
8,ln_credit,ln_real_housing,-0.6458853262803252
8,ln_credit,ln_real_income,0.23020245554149124
8,ln_credit,ln_cpi,-0.19229095549073513
8,ln_real_equity,shadow_rate,2.8509009351843604
8,ln_real_equity,ln_credit,0.032907993683229365
8,ln_real_equity,ln_real_equity,0.7001517094952698
8,ln_real_equity,ln_real_housing,0.03791987812288709
8,ln_real_equity,ln_real_income,0.026258024390969668
8,ln_real_equity,ln_cpi,0.035851851474992
8,ln_real_housing,shadow_rate,43.09384628321686
8,ln_real_housing,ln_credit,-0.19717408743486609
8,ln_real_housing,ln_real_equity,0.755629752572389
8,ln_real_housing,ln_real_housing,4.530996140454574
8,ln_real_housing,ln_real_income,-0.24666813652712985
8,ln_real_housing,ln_cpi,0.24906178117160543
8,ln_real_income,shadow_rate,-10.456756333786483
8,ln_real_income,ln_credit,-0.02914881762857445
8,ln_real_income,ln_real_equity,1.4244076592400587
8,ln_real_income,ln_real_housing,0.2264300521541226
8,ln_real_income,ln_real_income,0.24692122385077137
8,ln_real_income,ln_cpi,0.010034100842216242
8,ln_cpi,shadow_rate,32.597701184295865
8,ln_cpi,ln_credit,-0.7675266533907076
8,ln_cpi,ln_real_equity,-1.9561448023952988
8,ln_cpi,ln_real_housing,1.902174781643935
8,ln_cpi,ln_real_income,-0.8144393008075965
8,ln_cpi,ln_cpi,1.600430998591602
9,shadow_rate,shadow_rate,1.276743281632211
9,shadow_rate,ln_credit,-0.010135920138947091
9,shadow_rate,ln_real_equity,-0.0039351828060392065
9,shadow_rate,ln_real_housing,-0.0028234570805389008
9,shadow_rate,ln_real_income,-0.008304684448660551
9,shadow_rate,ln_cpi,0.00028667765945973285
9,ln_credit,shadow_rate,-13.25359526419918
9,ln_credit,ln_credit,0.963913126797893
9,ln_credit,ln_real_equity,-1.2839290755607489
9,ln_credit,ln_real_housing,-0.6387105532985826
9,ln_credit,ln_real_income,0.2310782719998326
9,ln_credit,ln_cpi,-0.2050330472257903
9,ln_real_equity,shadow_rate,3.068808702049642
9,ln_real_equity,ln_credit,0.03671963878451735
9,ln_real_equity,ln_real_equity,0.6791694667645576
9,ln_real_equity,ln_real_housing,0.03888715438808349
9,ln_real_equity,ln_real_income,0.027225755229831824
9,ln_real_equity,ln_cpi,0.037853638979972806
9,ln_real_housing,shadow_rate,45.851335796260074
9,ln_real_housing,ln_credit,-0.0979957902311287
9,ln_real_housing,ln_real_equity,0.14534193581854993
9,ln_real_housing,ln_real_housing,4.333650144379055
9,ln_real_housing,ln_real_income,-0.14843007866962035
9,ln_real_housing,ln_cpi,0.2706999449338987
9,ln_real_income,shadow_rate,-10.58316720801689
9,ln_real_income,ln_credit,-0.018320861640406288
9,ln_real_income,ln_real_equity,1.489955614966023
9,ln_real_income,ln_real_housing,0.27006207617080097
9,ln_real_income,ln_real_income,0.22810562809937254
9,ln_real_income,ln_cpi,0.017162529760555247
9,ln_cpi,shadow_rate,34.54844356883503
9,ln_cpi,ln_credit,-0.702106487226426
9,ln_cpi,ln_real_equity,-2.601903835754115
9,ln_cpi,ln_real_housing,1.649546915644525
9,ln_cpi,ln_real_income,-0.6892152982200281
9,ln_cpi,ln_cpi,1.5987582490101937
10,shadow_rate,shadow_rate,1.2656354258633704
10,shadow_rate,ln_credit,-0.010600226785613395
10,shadow_rate,ln_real_equity,-0.0038615086088249397
10,shadow_rate,ln_real_housing,-0.004039879209417834
10,shadow_rate,ln_real_income,-0.008058584293524521
10,shadow_rate,ln_cpi,4.936309042283081e-05
10,ln_credit,shadow_rate,-14.050893196761033
10,ln_credit,ln_credit,0.9386946275920669
10,ln_credit,ln_real_equity,-1.194412920155502
10,ln_credit,ln_real_housing,-0.6358758371321069
10,ln_credit,ln_real_income,0.22500887284847682
10,ln_credit,ln_cpi,-0.21594402166447832
10,ln_real_equity,shadow_rate,3.2601869878413328
10,ln_real_equity,ln_credit,0.04059001596672452
10,ln_real_equity,ln_real_equity,0.6588630690264614
10,ln_real_equity,ln_real_housing,0.039311867506556686
10,ln_real_equity,ln_real_income,0.028713507831591722
10,ln_real_equity,ln_cpi,0.03961687021072895
10,ln_real_housing,shadow_rate,47.517216363478454
10,ln_real_housing,ln_credit,-0.0013398628585018224
10,ln_real_housing,ln_real_equity,-0.3584356436567644
10,ln_real_housing,ln_real_housing,4.2465380352323905
10,ln_real_housing,ln_real_income,-0.060020761737266226
10,ln_real_housing,ln_cpi,0.2804460163682901
10,ln_real_income,shadow_rate,-10.51886159343074
10,ln_real_income,ln_credit,-0.005549173240313123
10,ln_real_income,ln_real_equity,1.5303357068776045
10,ln_real_income,ln_real_housing,0.3081592069822874
10,ln_real_income,ln_real_income,0.21381076716033517
10,ln_real_income,ln_cpi,0.025203168860695263
10,ln_cpi,shadow_rate,35.28913843339646
10,ln_cpi,ln_credit,-0.6479513182668032
10,ln_cpi,ln_real_equity,-3.084725275479068
10,ln_cpi,ln_real_housing,1.5158733554541994
10,ln_cpi,ln_real_income,-0.5803573673138438
10,ln_cpi,ln_cpi,1.5848823831969336
11,shadow_rate,shadow_rate,1.2516757395386744
11,shadow_rate,ln_credit,-0.011049688052236948
11,shadow_rate,ln_real_equity,-0.0034988486036185845
11,shadow_rate,ln_real_housing,-0.005025359901513422
11,shadow_rate,ln_real_income,-0.007827569197412065
11,shadow_rate,ln_cpi,-0.00020413389658539187
11,ln_credit,shadow_rate,-14.735552517608205
11,ln_credit,ln_credit,0.9120736841793257
11,ln_credit,ln_real_equity,-1.1054358556452022
11,ln_credit,ln_real_housing,-0.6421726860264945
11,ln_credit,ln_real_income,0.21808097253135003
11,ln_credit,ln_cpi,-0.2252118691056239
11,ln_real_equity,shadow_rate,3.4267000387075646
11,ln_real_equity,ln_credit,0.044410180949091715
11,ln_real_equity,ln_real_equity,0.6397554525396082
11,ln_real_equity,ln_real_housing,0.03985670654771181
11,ln_real_equity,ln_real_income,0.030315552725733177
11,ln_real_equity,ln_cpi,0.04113753796320303
11,ln_real_housing,shadow_rate,48.56031760765661
11,ln_real_housing,ln_credit,0.07604964445405016
11,ln_real_housing,ln_real_equity,-0.7227219849676872
11,ln_real_housing,ln_real_housing,4.248141354818169
11,ln_real_housing,ln_real_income,0.005397119741642836
11,ln_real_housing,ln_cpi,0.283306274704457
11,ln_real_income,shadow_rate,-10.31714411030399
11,ln_real_income,ln_credit,0.009150162256770407
11,ln_real_income,ln_real_equity,1.5500747521281766
11,ln_real_income,ln_real_housing,0.3414461986684512
11,ln_real_income,ln_real_income,0.20181659787227976
11,ln_real_income,ln_cpi,0.03378977294208588
11,ln_cpi,shadow_rate,35.34531763580016
11,ln_cpi,ln_credit,-0.6188190424840304
11,ln_cpi,ln_real_equity,-3.3899527830883653
11,ln_cpi,ln_real_housing,1.469341652503922
11,ln_cpi,ln_real_income,-0.5034496547656178
11,ln_cpi,ln_cpi,1.5649389077963576
12,shadow_rate,shadow_rate,1.235957044785099
12,shadow_rate,ln_credit,-0.011512481829262856
12,shadow_rate,ln_real_equity,-0.0027996605982881246
12,shadow_rate,ln_real_housing,-0.005802698230141168
12,shadow_rate,ln_real_income,-0.007658924667829525
12,shadow_rate,ln_cpi,-0.0004642840215438934
12,ln_credit,shadow_rate,-15.348524867676469
12,ln_credit,ln_credit,0.8865186281116073
12,ln_credit,ln_real_equity,-1.02456301613224
12,ln_credit,ln_real_housing,-0.6576204040671016
12,ln_credit,ln_real_income,0.21159145370402843
12,ln_credit,ln_cpi,-0.23328461015705707
12,ln_real_equity,shadow_rate,3.571801317903322
12,ln_real_equity,ln_credit,0.048028952224919215
12,ln_real_equity,ln_real_equity,0.6223192589492846
12,ln_real_equity,ln_real_housing,0.04082873748734375
12,ln_real_equity,ln_real_income,0.03188332357420096
12,ln_real_equity,ln_cpi,0.04244724281365606
12,ln_real_housing,shadow_rate,49.3512178903234
12,ln_real_housing,ln_credit,0.12796832271108255
12,ln_real_housing,ln_real_equity,-0.9559676345693603
12,ln_real_housing,ln_real_housing,4.301767808268082
12,ln_real_housing,ln_real_income,0.044859935759825276
12,ln_real_housing,ln_cpi,0.2835890297743013
12,ln_real_income,shadow_rate,-10.01184279819456
12,ln_real_income,ln_credit,0.025617746494298224
