event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20060608,2006-06-08,2006Q2,pre_gfc,-0.9313778932765984,-2.739976035666884,-2.60000000000002,-3.14999999999999,0.590529580651022,-0.9313778932765984,-3.14999999999999,0.590529580651022,-3.14999999999999,0.590529580651022,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20060803,2006-08-03,2006Q3,pre_gfc,0.4635770584745104,0.1640551501793188,0.999999999999979,1.45,-0.0027318821576471,0.4635770584745104,1.45,-0.0027318821576471,1.45,-0.0027318821576471,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20061005,2006-10-05,2006Q4,pre_gfc,-0.4867923451736411,0.6251698892017347,0.0500000000000167,-0.099999999999989,0.0946219063218123,-0.4867923451736411,-0.099999999999989,0.0946219063218123,-0.099999999999989,0.0946219063218123,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20070111,2007-01-11,2007Q1,pre_gfc,-0.4165756629244225,-2.58307916797776,-0.499999999999989,-3.94999999999999,0.644947006706076,-0.4165756629244225,-3.94999999999999,0.644947006706076,-3.94999999999999,0.644947006706076,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20070906,2007-09-06,2007Q3,pre_gfc,-1.6962599499890498,-3.6236892573041577,-3.39999999999998,-2.55000000000001,0.5263120267525069,-1.6962599499890498,-2.55000000000001,0.5263120267525069,-2.55000000000001,0.5263120267525069,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20080703,2008-07-03,2008Q3,gfc,-1.2979839627758942,3.5040442803412923,-1.6,-7.44999999999996,1.35320062185773,-1.2979839627758942,-7.44999999999996,1.35320062185773,-7.44999999999996,1.35320062185773,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20081008,2008-10-08,2008Q4,gfc,,,-20.1,-3.2,1.82643328591379,,-3.2,1.82643328591379,-3.2,1.82643328591379,missing,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20081106,2008-11-06,2008Q4,gfc,,,14.2,16.6,-1.30428193491552,,16.6,-1.30428193491552,16.6,-1.30428193491552,missing,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20081204,2008-12-04,2008Q4,gfc,3.3012671489551697,0.5732667779269244,2.95000000000001,5.50000000000002,-1.47784599256786,3.3012671489551697,5.50000000000002,-1.47784599256786,5.50000000000002,-1.47784599256786,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20090402,2009-04-02,2009Q2,gfc,4.985190957130369,2.937428339346684,7.400000000000009,6.19999999999999,-0.0510608946750146,4.985190957130369,6.19999999999999,-0.0510608946750146,6.19999999999999,-0.0510608946750146,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20090806,2009-08-06,2009Q3,gfc,0.0999583352383328,-2.5138487900533577,-1.1,0.5,-0.0954478917656765,0.0999583352383328,0.5,-0.0954478917656765,0.5,-0.0954478917656765,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20091105,2009-11-05,2009Q4,gfc,-0.899119812236331,-2.0182496047078797,-1.0,-1.8,0.807551135358597,-0.899119812236331,-1.8,0.807551135358597,-1.8,0.807551135358597,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20091203,2009-12-03,2009Q4,gfc,-1.0738930756020433,-5.23083374038625,-3.2,-3.5,0.314817376122178,-1.0738930756020433,-3.5,0.314817376122178,-3.5,0.314817376122178,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20100304,2010-03-04,2010Q1,euro_crisis,-0.4165158513683266,-1.409650965894452,-0.35,-2.05,0.307755207621874,-0.4165158513683266,-2.05,0.307755207621874,-2.05,0.307755207621874,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20101007,2010-10-07,2010Q4,euro_crisis,-0.0114125371091204,0.6344167401864867,0.5,-0.4,0.0691707954803,-0.0114125371091204,-0.4,0.0691707954803,-0.4,0.0691707954803,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20110203,2011-02-03,2011Q1,euro_crisis,-0.6693178775125442,-1.8755458016916688,-0.8499999999999949,-3.4,0.158118655338946,-0.6693178775125442,-3.4,0.158118655338946,-3.4,0.158118655338946,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20110505,2011-05-05,2011Q2,euro_crisis,-1.0350306688131798,-6.0045075745811305,-2.25,-10.2,0.226453328699172,-1.0350306688131798,-10.2,0.226453328699172,-10.2,0.226453328699172,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
