dimension,response,horizon,value,sign,control_lags,regime
lag_sensitivity,ln_nfc_loans_ea_stock,2,-9.65878612623969e-08,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-1.696858002469343e-07,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-1.1459556641824487e-07,negative,1.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-2.897461181052532e-07,negative,1.0,
lag_sensitivity,ln_compensation_ea20_real,0,-4.8755378922384294e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,1,5.325260872094898e-08,positive,2.0,
lag_sensitivity,ln_compensation_ea20_real,2,1.0817813225740875e-09,positive,2.0,
lag_sensitivity,ln_compensation_ea20_real,4,-1.8499626481087642e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,8,-7.261266498064534e-08,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,12,-8.914583196576225e-08,negative,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,2.937529343633726e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,5.161067298844133e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,5.309712163357497e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,3.731987459706466e-07,positive,2.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.977062277607772e-07,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,1.0575137255283764e-08,positive,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-6.738819222877943e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-3.50878331819917e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-8.394665601839351e-09,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-5.3015346710466004e-08,negative,2.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-1.1372289300166341e-07,negative,2.0,
lag_sensitivity,ln_house_price_de_real,0,1.3833017289775451e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,1,4.6720754201343556e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,2,6.07529760823997e-08,positive,2.0,
