factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.047213524193878205,0.0033610597655229723,-16978.985982392885,negative,negative,stable,0.8311196860750496,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.38913780618506333,0.011315718596325929,-0.000621948331282748,negative,negative,stable,0.5369160658814681,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,2.0220778496560006,0.08783211762470063,0.0013197374203398097,positive,negative,unstable_or_unavailable,0.16971017402709934,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.104272788979839,0.07310996063216776,-0.0014258709604356564,negative,negative,stable,0.31113186168722184,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.01568697044025634,0.00046116870883390853,0.00024120402880031182,positive,negative,unstable_or_unavailable,0.9010651542526635,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,2.4983388953367585,0.10631980866666935,-0.004186785389107322,negative,negative,stable,0.1289118324354528,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.3117856839150038,0.021785239857624424,0.0018788663591956236,positive,negative,unstable_or_unavailable,0.5854066536486154,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
