response,response_label,shock,horizon_months,cumulative_response,cumulative_se_independence_approx,ci_90_low,ci_90_high,ci_method
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,1,-0.0022981630695072417,0.001472478094451972,-0.00472017400377316,0.00012384786475867684,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,3,-0.0014787207860525575,0.0024913036633264773,-0.005576550652512603,0.0026191090804074885,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,6,-0.003042741700155261,0.003884349731137262,-0.009431928443764361,0.0033464450434538403,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,12,-0.00910152950891252,0.005243568562978265,-0.01772643227789604,-0.0004766267399290026,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,qe_factor_monthly_easing,24,-0.010941252912836923,0.00663842099209644,-0.02186048375891754,-2.2022066756303624e-05,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,0,-0.0014653835154052287,0.001140244485745514,-0.0033409187933951534,0.0004101517625846962,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,1,-0.0022491481123691815,0.0021114611842753626,-0.005722192699491762,0.0012238964747533993,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,3,-0.00347542835062624,0.0032619864365070615,-0.00884091857178139,0.0018900618705289087,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,6,-0.004853572122058053,0.004383953781064429,-0.012064534399229498,0.0023573901551133926,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,12,-0.008813526148091643,0.006476556682763919,-0.01946651389789267,0.0018394616017093843,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,target_factor_monthly_easing,24,-0.0129767966605093,0.00871841092912318,-0.027317306498530917,0.0013637131775123181,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,0,0.0029235597265301993,0.002219152878699428,-0.0007266219347583556,0.006573741387818754,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,1,0.007557801437846387,0.003385367126507974,0.001989368041247463,0.013126234834445312,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,3,0.011313408651548089,0.005068936773711268,0.0029757496145214144,0.01965106768857476,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,6,0.011907158415092212,0.007266644180004901,-4.540762015465584e-05,0.023859724450339077,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,12,0.012445970853214163,0.008878470206693675,-0.002157813068046516,0.02704975477447484,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,timing_factor_monthly_easing,24,0.005887362669042013,0.010308372678037055,-0.011068401518394697,0.022843126856478723,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,0,-0.00028465528011624685,0.004630222775641668,-0.007900694006223757,0.007331383445991263,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,1,0.0086246689839978,0.0075746519593273085,-0.0038345247641967985,0.0210838627321924,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,3,0.03298578381364524,0.012986030753390323,0.011625664029227809,0.05434590359806267,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,6,0.03943073621768085,0.018336396481854048,0.009270047959283007,0.0695914244760787,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,12,0.03509964939352475,0.02563428373459577,-0.007064995181628231,0.07726429396867773,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_ecb_assets_ea_stock,ECB assets,weighted_composite_monthly_easing,24,0.02167292178613387,0.028519835572281573,-0.02523803319499309,0.06858387676726083,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
ln_hh_loans_ea_stock,household credit,fg_factor_monthly_easing,0,-8.849755488379355e-05,3.75600491687153e-05,-0.00015027833798743055,-2.6716771780156554e-05,sum_of_monthly_reduced_form_betas_with_independence_se_approximation
