KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2008-Q2,32.78858342605171,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2008-Q3,29.399278421060508,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2008-Q4,35.74062004075088,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2009-Q1,40.91892861563021,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2009-Q2,27.996171304830355,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2009-Q3,22.386373847030832,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2009-Q4,13.85649247436867,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2010-Q1,3.02699519945966,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2010-Q2,9.72446344209961,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2010-Q3,9.782968673932961,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
