response,regime,horizon,cumulative_response,F_stat,weak_iv_flag
ln_nfc_loans_ea_stock,pre_qe,0,4.118780360898463e-08,1.4636764838310359,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,1,1.2776487053188397e-07,1.4525411404335429,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,2,2.675054036037838e-07,1.4216360097862715,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,4,3.04711316732415e-07,1.1900665335224,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,8,2.3795688433278277e-07,0.9534796233794917,weak_iv_risk
ln_nfc_loans_ea_stock,pre_qe,12,-1.1150508934993204e-07,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,qe,0,8.44456096789651e-08,1.4636764838310359,weak_iv_risk
ln_nfc_loans_ea_stock,qe,1,2.001536996315811e-07,1.4525411404335429,weak_iv_risk
ln_nfc_loans_ea_stock,qe,2,2.9380792570264935e-07,1.4216360097862715,weak_iv_risk
ln_nfc_loans_ea_stock,qe,4,3.788538590917266e-07,1.1900665335224,weak_iv_risk
ln_nfc_loans_ea_stock,qe,8,1.1025106401434373e-07,0.9534796233794917,weak_iv_risk
ln_nfc_loans_ea_stock,qe,12,-4.0524407123466136e-08,0.0021781474005609664,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,0,-6.624426445522222e-07,1.4636764838310359,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,1,-1.0110074995709164e-06,1.4525411404335429,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,2,-1.011007525864202e-06,1.4216360097862715,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,4,-1.0110075347954115e-06,1.1900665335224,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,8,-1.0110074826204978e-06,0.9534796233794917,weak_iv_risk
ln_nfc_loans_ea_stock,tightening,12,-1.0110081777440224e-06,0.0021781474005609664,weak_iv_risk
