response,response_label,channel,response_role,shock,horizon_months,coefficient_common_sample,ci_68_low,ci_68_high,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_replications,bootstrap_method,block_length,block_length_rule,nobs_common_horizon_sample,interpretation_layer,moving_block_width_90,wild_width_90,width_ratio_mbb_to_wild
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,12,-0.02142744719900302,-0.02955645493092227,-0.012729984483688053,-0.035369100697794746,-0.006918674779206897,-0.03846038142101908,-0.0021712209861559084,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.02845042591858785,0.02988891222418483,0.9518722429639638
ln_dax_real_de,real DAX,financial_market,monthly,target_factor_monthly_easing,24,-0.02720374460525846,-0.038185525666378346,-0.01753642282252426,-0.04357566266411525,-0.009004982474460223,-0.04863361774412839,-0.003522365671087118,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.03457068018965503,0.05380256790357092,0.6425470295695782
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,0.006637698779927811,0.0020887126580570333,0.011184976621936878,-0.0018192411018500437,0.013862071237750413,-0.003653268537498992,0.015588187715418514,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.015681312339600458,0.02021537241243619,0.7757122658771081
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,0.02112605783973015,0.01517748176843629,0.026929602744360338,0.010137522000631515,0.031201895360382682,0.007553562908442616,0.03482643620745871,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.021064373359751167,0.03627200550332443,0.5807336282472874
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,3,0.01653775559563412,0.0077180754220091494,0.027778171608841648,-0.0018825924890087582,0.03567523455663693,-0.0040240645135853695,0.04284405531664343,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.03755782704564569,0.057353881975916746,0.654843678435166
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,6,0.027847995495110852,0.011371192375012698,0.04570596790510556,0.0011864237337100708,0.0567319554888015,-0.0033592847775508546,0.0641599295036885,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.05554553175509143,0.07158558700566635,0.7759317773100712
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,12,0.049959305828954706,0.02674813831638876,0.074561915424633,0.008437047641299435,0.09414580862561421,0.0008225382559365637,0.10667420841783458,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.08570876098431478,0.10557117264602768,0.8118576201828306
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,24,0.021928757033803873,-0.009807013192540898,0.05084571753843061,-0.027180172905524984,0.07581284114077193,-0.03597050986996902,0.08902746371357534,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.1029930140462969,0.09796178720368875,1.0513590756786306
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,0,0.00036650303738567757,-0.005383755985232565,0.006737743420910376,-0.008636567509259592,0.010738767259805129,-0.010148933359906883,0.013753243115654195,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.019375334769064723,0.02585781471893605,0.7493028695451162
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,1,0.017669367049584814,0.010970931386447372,0.0252993944942808,0.005470569913578179,0.029450945499307594,0.003949691175631434,0.03071270764303163,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.023980375585729415,0.04391803232293103,0.5460257283250024
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,3,0.0040253766218957985,-0.004036141938422722,0.012204023754759716,-0.01023975208601591,0.018026879999571796,-0.01312186813002579,0.019690704279204312,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.028266632085587703,0.04516019668315358,0.6259191536278715
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,6,0.01616902247840505,0.005675463450202493,0.025994913676383805,-0.0022499431552955654,0.03375652877425615,-0.006339272136895959,0.03658383769784007,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.03600647192955172,0.041089333060260455,0.8762973075456261
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,12,0.025196617110710775,0.010279123283439896,0.0388228135320231,0.001803777535278166,0.0481220765199046,-0.00406292791421172,0.05230481500419806,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.04631829898462643,0.051817507576155365,0.8938735410334656
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,monthly,target_factor_monthly_easing,24,0.010420901568808367,-0.008612111735577624,0.028906236893279293,-0.020248100730720347,0.0373332924721967,-0.02736514849844722,0.0413552024681903,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.05758139320291705,0.05328630402753058,1.0806039986028566
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,0,-0.00012912326624363812,-0.0004940708409810368,0.00016431982436941627,-0.0007513971721830916,0.00045165358142482755,-0.0009397014130477437,0.000580623127870455,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.0012030507536079191,0.0016820596933701838,0.7152247677949408
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,1,-0.0008439290323532479,-0.0013657188324979073,-0.0003599498323278191,-0.0017281471365688619,5.673830246697097e-05,-0.0018703806472720247,0.0002516959406859286,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.0017848854390358328,0.002914676044410619,0.6123786698211798
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,3,-0.0005096343756047345,-0.0012989551853062004,0.0002505374607899229,-0.0018850631720410025,0.0007669875908829595,-0.002094819783808885,0.0010710886791667328,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.0026520507629239623,0.0044525478029661895,0.5956254441911267
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,6,0.00029850218667756096,-0.0008655767610884493,0.0014170855489660623,-0.0017159336182789127,0.0021622456348128313,-0.0021632515957343175,0.0024796809016494107,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.003878179253091744,0.005612266881746258,0.6910183237553108
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,12,0.00021229079664295152,-0.0017364686894250688,0.0019452485060691077,-0.002846285810747765,0.0030118592014746915,-0.0032816178447519617,0.003757914978022342,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.005858145012222456,0.007462321937400571,0.7850297884981206
ln_nfc_loans_ea_stock,NFC credit,financial_credit,monthly,target_factor_monthly_easing,24,-0.000945344977558459,-0.003675702535814701,0.00158279168041415,-0.006014889810545765,0.0031968586372440274,-0.006791690473103162,0.004224523145086867,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.009211748447789792,0.01178550736711061,0.7816166212323354
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,0,0.04831952104003453,0.030810045337905004,0.06376711794196015,0.02026813554303347,0.07743160390342305,0.017209467061044308,0.08446972031175198,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.057163468360389574,0.07373843157862311,0.7752194769621511
