target,instrument,regime,observations,sample_start,sample_end,first_stage_f_stat,partial_r_squared,coefficient,sign,relevance_class
d_ln_dax_real_de,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,0.27073345386279596,0.006722833945226469,-0.0036293363581743777,negative,weak
d_ln_dax_real_de,target_factor_monthly_easing,covid,24,2020-01,2021-12,10.568605244077858,0.3699377394795527,0.018700445466461817,positive,usable_F10
d_ln_dax_real_de,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,4.028951924407134,0.03910504619481325,-0.004780744590860447,negative,weak
d_ln_dax_real_de,target_factor_monthly_easing,qe,71,2014-02,2019-12,0.15119735328536707,0.00232071488211479,0.001851237673657803,positive,weak
d_ln_dax_real_de,target_factor_monthly_easing,tightening,46,2022-01,2025-10,1.0640326122492079,0.02591154702940237,-0.0019013692082202585,negative,weak
d_ln_dax_real_de,fg_factor_monthly_easing,covid,24,2020-01,2021-12,0.4009719205695446,0.021790801176176884,0.009391647395104914,positive,weak
d_ln_dax_real_de,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.43422823455338416,0.004456629281324697,-0.0008270091439420695,negative,weak
d_ln_dax_real_de,fg_factor_monthly_easing,qe,71,2014-02,2019-12,0.001985947068412847,3.055209836250262e-05,-0.0001647932156444887,negative,weak
d_ln_dax_real_de,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,0.9551846976543865,0.023322680747404675,0.0018646765118202106,positive,weak
d_ln_dax_real_de,qe_factor_monthly_easing,covid,24,2020-01,2021-12,4.978579153364099,0.21666174919415013,-0.021519064608848407,negative,weak
d_ln_dax_real_de,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_dax_real_de,qe_factor_monthly_easing,qe,71,2014-02,2019-12,1.455444635887858,0.021901059331741735,0.0025550583258024855,positive,weak
d_ln_dax_real_de,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.06621921125096193,0.001652744195847832,0.0008689414941699221,positive,weak
d_ln_dax_real_de,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,1.258185603440742,0.06533250999595464,0.09679745123950972,positive,weak
d_ln_dax_real_de,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,1.7072337366514163,0.016952443963616542,-0.010335537334628083,negative,weak
d_ln_dax_real_de,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,0.8227083836993598,0.012498853418543003,0.014111774737690626,positive,weak
d_ln_dax_real_de,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.066398909446781,0.0016572217931750683,-0.0034667372472852185,negative,weak
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,covid,24,2020-01,2021-12,0.12229569660308809,0.0067483556526456885,0.00022741362145452986,positive,weak
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.2310790916470511,0.0023765970079303858,-3.507487542059833e-05,negative,weak
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,qe,71,2014-02,2019-12,2.463678240576765,0.036518587554494754,0.0002152491121547786,positive,weak
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,0.6150591843158584,0.015143623982539293,0.0002422924334023637,positive,weak
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,covid,24,2020-01,2021-12,5.18683757161605,0.22369749887606358,0.00035316499370920585,positive,borderline
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,0.35225393779204944,0.003545505248553375,5.064796461010113e-05,positive,weak
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,qe,71,2014-02,2019-12,2.5195699241680622,0.037316142964148286,0.00021675639843815798,positive,weak
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,tightening,46,2022-01,2025-10,0.4343879547633416,0.01074303276827933,5.367273713159216e-05,positive,weak
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,covid,24,2020-01,2021-12,0.17927254538974285,0.009861370686980888,0.00015923812740902031,positive,weak
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,1.1115020005955594,0.011328967327284544,-4.7012516945143196e-05,negative,weak
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,qe,71,2014-02,2019-12,1.1997140887038984,0.018122647585703297,-0.00011343627768246799,negative,weak
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,0.4614230789975743,0.011404024967107162,-5.340981352764059e-05,negative,weak
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,covid,24,2020-01,2021-12,10.259124751580043,0.36303759729877794,-0.0006914435992121197,negative,usable_F10
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,qe,71,2014-02,2019-12,0.2500608846988454,0.003832347147395302,3.096225376767235e-05,positive,weak
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.0818343942074615,0.0020416828581899444,-4.224026265339056e-05,negative,weak
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,0.6691056612296507,0.0358402632333476,0.0018591197212660037,positive,weak
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.4748164230303389,0.0047732324632911785,-0.00020217288241129586,negative,weak
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,1.2898842534130577,0.019458236621474348,0.0005181207301502639,positive,weak
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.029446364489155774,0.0007356175806437876,9.88955387809181e-05,positive,weak
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,covid,24,2020-01,2021-12,0.11036398976358025,0.006093968615206225,0.0008304663811047382,positive,weak
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.5037393882128001,0.005166359683982511,-0.00011352475706017907,negative,weak
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,qe,71,2014-02,2019-12,2.948348108915064,0.04339101966377649,0.0008352255070803092,positive,weak
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,0.0001788872389618995,4.472160973734267e-06,-1.2899640508558978e-05,negative,weak
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,covid,24,2020-01,2021-12,20.48788926198641,0.5323204170154849,-0.002095784034496104,negative,strong_F16
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,1.9596199703458907,0.019409938061588142,0.00027136834713006034,positive,weak
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,qe,71,2014-02,2019-12,0.4541194003438577,0.006937980443465748,0.0003349812418027388,positive,weak
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,tightening,46,2022-01,2025-10,0.014600093581916001,0.0003648691614503418,2.9522004149834684e-05,positive,weak
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,covid,24,2020-01,2021-12,0.38434779435594657,0.020906251266305055,-0.0009600294868277676,negative,weak
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.6672013287914527,0.006831375525396236,8.015830224002797e-05,positive,weak
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,qe,71,2014-02,2019-12,0.09746070092984774,0.0014971505782322414,-0.00011796723025197302,negative,weak
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,0.2852671210546959,0.007081177349463419,0.0001362591990169738,positive,weak
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,covid,24,2020-01,2021-12,4.020902241426588,0.1825948000378617,0.0019317992581193051,positive,weak
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,qe,71,2014-02,2019-12,0.5217451254290401,0.00796293084731271,0.00016658001544193153,positive,weak
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.5571578796706838,0.013737596735050307,0.00032062109745503394,positive,weak
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,9.940535557542404,0.35577469648247334,-0.022452628098655825,negative,borderline
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.30787452421563655,0.0031002025336929672,0.0003681992776391013,positive,weak
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,1.7850802773580203,0.026728728481639808,0.00224895631185574,positive,weak
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.3594057241730765,0.008905129243709654,0.0010308880852146882,positive,weak
d_ln_retail_de_chained_index,timing_factor_monthly_easing,covid,24,2020-01,2021-12,0.16091166949164823,0.0088603299448872,0.006489291805578636,positive,weak
d_ln_retail_de_chained_index,timing_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.7428061515126981,0.007599599200797062,0.00038119237119458845,positive,weak
d_ln_retail_de_chained_index,timing_factor_monthly_easing,qe,71,2014-02,2019-12,0.841048178906296,0.012773918431871886,-0.0010089814939062704,negative,weak
d_ln_retail_de_chained_index,timing_factor_monthly_easing,tightening,46,2022-01,2025-10,2.12505026422527,0.05044623688033841,-0.002645477694601891,negative,weak
d_ln_retail_de_chained_index,target_factor_monthly_easing,covid,24,2020-01,2021-12,0.3291237210728327,0.017956326013253,0.0024140884963980112,positive,weak
d_ln_retail_de_chained_index,target_factor_monthly_easing,pre_qe,105,2005-04,2014-01,2.1225728371520667,0.02099009921919472,-0.0007344231038463968,negative,weak
d_ln_retail_de_chained_index,target_factor_monthly_easing,qe,71,2014-02,2019-12,1.6985229085097138,0.025465675017115084,-0.0014127898639561874,negative,weak
d_ln_retail_de_chained_index,target_factor_monthly_easing,tightening,46,2022-01,2025-10,1.7731433030837074,0.04244696862332631,0.0006258364297070066,positive,weak
d_ln_retail_de_chained_index,fg_factor_monthly_easing,covid,24,2020-01,2021-12,0.07399847969499836,0.0040941953037193736,0.002521794182386777,positive,weak
d_ln_retail_de_chained_index,fg_factor_monthly_easing,pre_qe,103,2005-04,2014-01,0.0062713419598060555,6.464883015345217e-05,-2.1548091302444003e-05,negative,weak
d_ln_retail_de_chained_index,fg_factor_monthly_easing,qe,71,2014-02,2019-12,0.0004728682788612708,7.27484367413021e-06,-1.8725254752198972e-05,negative,weak
d_ln_retail_de_chained_index,fg_factor_monthly_easing,tightening,46,2022-01,2025-10,0.36115396556147666,0.008948058469032738,0.00028333584705816115,positive,weak
d_ln_retail_de_chained_index,qe_factor_monthly_easing,covid,24,2020-01,2021-12,2.067316373730933,0.10301907515830805,-0.008705559173451841,negative,weak
d_ln_retail_de_chained_index,qe_factor_monthly_easing,pre_qe,1,,,,,,,not_available
d_ln_retail_de_chained_index,qe_factor_monthly_easing,qe,71,2014-02,2019-12,0.41070682469647607,0.006278892931048553,-0.00031650661430933044,negative,weak
d_ln_retail_de_chained_index,qe_factor_monthly_easing,tightening,46,2022-01,2025-10,0.2803223142516041,0.0069592867719537365,-0.0004252487404232707,negative,weak
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,covid,24,2020-01,2021-12,0.011656707742846622,0.0006471757668929832,-0.005949607266790967,negative,weak
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,pre_qe,105,2005-04,2014-01,0.011698652343123835,0.00011815424341118488,-0.0001885410549377243,negative,weak
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,qe,71,2014-02,2019-12,1.5145851037083635,0.022770721659720935,-0.004450112490995067,negative,weak
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,tightening,46,2022-01,2025-10,0.3722198025843049,0.009219701180772786,0.0019557614519595413,positive,weak
