response,response_label,channel,horizon_months,cumulative_response,ci_90_low,ci_90_high,ci_95_low,ci_95_high,cumulative_direction,ci_90_excludes_zero
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,6,0.02664036832098237,-0.014140201932464624,0.06742093857442936,-0.021952678291863557,0.07523341493382829,positive,False
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,12,0.025300973539210327,-0.020874152968374263,0.07147610004679492,-0.02972008332174561,0.08032203040016626,positive,False
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,-0.0055231028406597035,-0.06956452146723752,0.0585183157859181,-0.08183315983921369,0.07078695415789427,negative,False
ln_hh_loans_ea_stock,household credit,financial_credit,6,0.0001863562727761134,-0.0007119435495668024,0.0010846560951190292,-0.0008840339858233452,0.001256746531375572,positive,False
ln_hh_loans_ea_stock,household credit,financial_credit,12,0.000305448055223198,-0.0011543954712472393,0.0017652915816936353,-0.0014340627973314754,0.0020449589077778715,positive,False
ln_hh_loans_ea_stock,household credit,financial_credit,24,-0.001098362522048242,-0.003336971311347127,0.0011402462672506434,-0.0037658294203840393,0.0015691043762875551,negative,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,6,-0.0011743909989125876,-0.0044711738731396215,0.0021223918753144463,-0.005102750089629456,0.0027539680918042815,negative,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,12,-0.0009274606499359457,-0.005320711723461793,0.003465790423589901,-0.006162342184721063,0.004307420884849171,negative,False
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,-0.0018728056274944047,-0.007015804904886615,0.003270193649897806,-0.008001067249707216,0.004255455994718407,negative,False
ln_retail_de_chained_index,retail volume,real_activity,6,0.001643959672701298,-0.002257439444483556,0.005545358789886152,-0.0030048441075904986,0.006292763452993094,positive,False
ln_retail_de_chained_index,retail volume,real_activity,12,-0.0004770689798591894,-0.00521010321558921,0.004255965255870832,-0.006116827124672878,0.0051626891649544995,negative,False
ln_retail_de_chained_index,retail volume,real_activity,24,-0.004706553738314072,-0.0106554503180402,0.0012423428414120568,-0.011795101225439936,0.0023819937488117927,negative,False
