response,response_label,channel,horizon_months,block_length_setting,sensitivity_block_length,interval_width_90,bootstrap_replications
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,4,4,0.5243860829986613,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,6,6,0.2931211364812254,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,6,6,0.4288135749194566,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,6,6,0.3755516401010907,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,9,9,0.2192278169916884,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,9,9,0.3339069821958198,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,9,9,0.4079865768607619,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,12,12,0.27224624030457817,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,12,12,0.48637600780048934,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,12,12,0.39543498420006895,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,6,auto,12,0.27224624030457817,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,12,auto,12,0.48637600780048934,199
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,auto,12,0.39543498420006895,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,6,4,4,0.5730237740100783,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,12,4,4,0.6194445764194323,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,24,4,4,0.652973094086061,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,6,6,6,0.5287476542926646,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,12,6,6,0.5455974797934312,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,24,6,6,0.5958881370436289,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,6,9,9,0.5552280829038333,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,12,9,9,0.6178206143707949,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,24,9,9,0.5425444041203973,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,6,12,12,0.5601910498730843,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,12,12,12,0.6887084522065969,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,24,12,12,0.6308384896303388,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,6,auto,12,0.5601910498730843,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,12,auto,12,0.6887084522065969,199
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,24,auto,12,0.6308384896303388,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,6,4,4,1.340873827529514,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,12,4,4,1.6584816835011402,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,24,4,4,1.6047066139120068,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,6,6,6,1.7383390870987065,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,12,6,6,1.8917325644332244,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,24,6,6,1.8315652990059201,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,6,9,9,1.4330316137661765,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,12,9,9,1.7439791934472135,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,24,9,9,1.786212260515334,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,6,12,12,1.5290096328589997,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,12,12,12,1.6323311326325871,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,24,12,12,1.7144485310670707,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,6,auto,12,1.5290096328589997,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,12,auto,12,1.6323311326325871,199
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,24,auto,12,1.7144485310670707,199
