factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_wx_shadow_rate,baseline_2005q1_2022q2,tightening,2022Q1,2025Q4,,,,,positive,unstable_or_unavailable,,2,0.022491219955023893,4,2.536613772359952,0.0399240317976054
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.21153030294229855,0.006183012015808783,0.018749392605719072,positive,positive,stable,0.6484983106882267,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.5154851133918589,0.023958795754551968,0.009589631747320667,positive,positive,stable,0.48068584036834694,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,positive,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.012562147663589285,0.0008964918429056787,0.022668825233996544,positive,positive,stable,0.9123503445986401,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.780253088155281,0.04975518434062214,-0.012738495592623494,negative,negative,stable,0.1909863683244193,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.2799625600267001,0.01315615848650952,0.006773101761323029,positive,negative,unstable_or_unavailable,0.6022745098613738,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.6096896980829772,0.04173187183865912,-0.008226331183621307,negative,negative,stable,0.44790718665037976,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
