date,quarter,regime,event_count,events_without_abgmr_factor_count,missing_quarter_flag,timing_factor_event_count,target_factor_event_count,fg_factor_event_count,qe_factor_event_count,year
2013-06-30,2013Q2,euro_crisis,3,0,False,3,3,3,0,2013
2013-09-30,2013Q3,euro_crisis,3,0,False,3,3,3,0,2013
2013-12-31,2013Q4,euro_crisis,3,0,False,3,3,3,0,2013
2014-03-31,2014Q1,euro_crisis,3,0,False,3,3,3,3,2014
2014-06-30,2014Q2,euro_crisis,3,0,False,3,3,3,3,2014
2014-09-30,2014Q3,euro_crisis,3,0,False,3,3,3,3,2014
2014-12-31,2014Q4,euro_crisis,3,0,False,3,3,3,3,2014
2015-03-31,2015Q1,qe_era,2,0,False,2,2,2,2,2015
2015-06-30,2015Q2,qe_era,2,0,False,2,2,2,2,2015
2015-09-30,2015Q3,qe_era,2,0,False,2,2,2,2,2015
2015-12-31,2015Q4,qe_era,2,0,False,2,2,2,2,2015
2016-03-31,2016Q1,qe_era,2,0,False,2,2,2,2,2016
2016-06-30,2016Q2,qe_era,2,0,False,2,2,2,2,2016
2016-09-30,2016Q3,qe_era,2,0,False,2,2,2,2,2016
2016-12-31,2016Q4,qe_era,2,0,False,2,2,2,2,2016
2017-03-31,2017Q1,qe_era,2,0,False,2,2,2,2,2017
2017-06-30,2017Q2,qe_era,2,0,False,2,2,2,2,2017
2017-09-30,2017Q3,qe_era,2,0,False,2,2,2,2,2017
2017-12-31,2017Q4,qe_era,2,0,False,2,2,2,2,2017
2018-03-31,2018Q1,qe_era,2,0,False,2,2,2,2,2018
2018-06-30,2018Q2,qe_era,2,0,False,2,2,2,2,2018
2018-09-30,2018Q3,qe_era,2,0,False,2,2,2,2,2018
2018-12-31,2018Q4,qe_era,2,0,False,2,2,2,2,2018
2019-03-31,2019Q1,qe_era,2,0,False,2,2,2,2,2019
2019-06-30,2019Q2,qe_era,2,0,False,2,2,2,2,2019
2019-09-30,2019Q3,qe_era,2,0,False,2,2,2,2,2019
2019-12-31,2019Q4,qe_era,2,0,False,2,2,2,2,2019
2020-03-31,2020Q1,covid,2,0,False,2,2,2,2,2020
2020-06-30,2020Q2,covid,2,0,False,2,2,2,2,2020
2020-09-30,2020Q3,covid,2,0,False,2,2,2,2,2020
2020-12-31,2020Q4,covid,2,0,False,2,2,2,2,2020
2021-03-31,2021Q1,covid,2,0,False,2,2,2,2,2021
2021-06-30,2021Q2,covid,2,0,False,2,2,2,2,2021
2021-09-30,2021Q3,covid,2,0,False,2,2,2,2,2021
2021-12-31,2021Q4,covid,2,0,False,2,2,2,2,2021
2022-03-31,2022Q1,covid,2,0,False,2,2,2,2,2022
2022-06-30,2022Q2,covid,2,0,False,2,2,2,2,2022
2022-09-30,2022Q3,tightening_regime,2,0,False,2,2,2,2,2022
2022-12-31,2022Q4,tightening_regime,2,0,False,2,2,2,2,2022
2023-03-31,2023Q1,tightening_regime,2,0,False,2,2,2,2,2023
2023-06-30,2023Q2,tightening_regime,2,0,False,2,2,2,2,2023
2023-09-30,2023Q3,tightening_regime,2,0,False,2,2,2,2,2023
2023-12-31,2023Q4,tightening_regime,2,0,False,2,2,2,2,2023
2024-03-31,2024Q1,tightening_regime,2,0,False,2,2,2,2,2024
2024-06-30,2024Q2,tightening_regime,2,0,False,2,2,2,2,2024
2024-09-30,2024Q3,tightening_regime,2,0,False,2,2,2,2,2024
2024-12-31,2024Q4,tightening_regime,2,0,False,2,2,2,2,2024
2025-03-31,2025Q1,tightening_regime,2,0,False,2,2,2,2,2025
2025-06-30,2025Q2,tightening_regime,2,0,False,2,2,2,2,2025
2025-09-30,2025Q3,tightening_regime,2,0,False,2,2,2,2,2025
2025-12-31,2025Q4,tightening_regime,1,0,False,1,1,1,1,2025
