,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2009-03-31,-0.23381870344553884,9.10988558409026,1.7615339977582996,-0.3718042969543113,9.412685119975604,5.358918458675886
2009-04-30,-0.09654186378074969,9.104525744336227,1.8802442577144127,-0.3698938887602659,9.41897923708751,5.359925034428083
2009-05-31,-0.065085713750547,9.10960994036147,1.907921815108527,-0.36304868164022963,9.433491923258392,5.3613954467607305
2009-06-30,-0.09432573823419874,9.108913697497945,1.928276723609612,-0.3603931139272214,9.415173302398895,5.369660806616172
2009-07-31,-0.08733544507762009,9.10209130402071,2.010493909549003,-0.35375986184925073,9.410722844087793,5.369362796761016
2009-08-31,-0.2020135137956118,9.09686845881256,2.020674354453895,-0.357633553000841,9.408764910351534,5.372705656551895
2009-09-30,-0.20235832412097005,9.087362577141912,2.074857506011537,-0.36649583478782327,9.41169628716712,5.374634682018732
2009-10-31,-0.134176961551484,9.077539509592311,2.0412267470959713,-0.37649512262237284,9.408633698279836,5.377632117017317
2009-11-30,-0.5065465144829772,9.085201067071381,2.0963066794638268,-0.3841886060994175,9.411189233384022,5.380975113562248
2009-12-31,-0.12090704246845857,9.08077027504957,2.147003264769522,-0.3933440801737789,9.415743488213458,5.3814951547170455
2010-01-31,-0.5335710290013347,9.07310482170827,2.0800942382129195,-0.4053892447311734,9.41619940290018,5.382143676592892
2010-02-28,-0.6543429309538538,9.066366142237191,2.124674795490466,-0.4179552847231847,9.416703923250376,5.381191446716147
2010-03-31,-0.5031377764515634,9.069964012785665,2.1983296946317306,-0.41451895888908563,9.420625608347011,5.381522759962044
2010-04-30,-0.5648817422945442,9.107280089308391,2.219464635900079,-0.40227796419328804,9.429242943033138,5.38175277403992
2010-05-31,-0.9250480991335491,9.102244540974146,2.142999109314608,-0.3905894179758461,9.436702737345726,5.381232866875345
2010-06-30,-1.1740798997477078,9.097223567260901,2.0803320331541824,-0.38565110610867476,9.437021658120537,5.380813983997617
2010-07-31,-1.380995991036202,9.100638677578221,2.147798502586561,-0.3884533968577737,9.43781054992789,5.382681492658975
2010-08-31,-1.8024180402875103,9.103646342584007,2.0931400036398604,-0.3976284374103677,9.440769320220777,5.384141789386214
2010-09-30,-1.8248523904748208,9.103571391564056,2.2141662433312495,-0.41174293305711634,9.440650184195093,5.385755735696871
2010-10-31,-2.246190579894524,9.104993936774783,2.2720366899298483,-0.4255201470141344,9.440856677619806,5.389231534398666
2010-11-30,-2.2557298573478493,9.106584188134011,2.2661489686924177,-0.43726698612062886,9.441856772950329,5.3917621712579
2010-12-31,-1.461859023553179,9.103765388039097,2.3085273432935534,-0.4497094859257345,9.447828545483715,5.395770702696749
2011-01-31,-1.5716683084315646,9.099760983885716,2.333759592978206,-0.4643331458840231,9.452509778388912,5.399008497577555
2011-02-28,-1.2153351841655309,9.095645871568234,2.360373978192898,-0.4769661343424488,9.455370651847849,5.402217816828981
2011-03-31,-1.205507027517503,9.094974585667137,2.3500964630290637,-0.48173433404984956,9.452713837598184,5.407378028214637
2011-04-30,-1.2752789193242686,9.09698010457047,2.3728614287079255,-0.47648709705599557,9.451033032929782,5.412061144263693
2011-05-31,-1.6922217178615633,9.096404913019276,2.3564785821396206,-0.4686931354181667,9.449774508226373,5.415237808054813
2011-06-30,-2.047096097457457,9.097084819034944,2.336267617040303,-0.4598263297524146,9.453827580673984,5.415237808054813
2011-07-31,-2.416294943878603,9.098833559251002,2.34975244911745,-0.4596428821590938,9.457637854232487,5.4178544185734765
2011-08-31,-3.562638968431581,9.103177902663488,2.2936780202222025,-0.4667132491730407,9.457177012133046,5.4210039158623875
2011-09-30,-3.7103406958598653,9.105698089993455,2.245004747696249,-0.4803813474524448,9.455769739429392,5.423173109318271
2011-10-31,-2.890730952750374,9.10903624027974,2.3426027067549597,-0.4937144967831436,9.456567437097368,5.423848088995246
