dimension,response,horizon,value,sign,control_lags,regime
lag_sensitivity,ln_ecb_assets_ea_stock,8,-4.11979441670561e-07,negative,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.0665356197624064e-07,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,-6.107875500314568e-09,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-1.0868988236615956e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-1.3443636073128446e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-1.949702375180849e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-4.0062325417117384e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-4.9877376961791517e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,0,-3.897930125415664e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,1,-2.553653374540694e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,2,-3.23403923365745e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,4,2.7827905439376705e-08,positive,4.0,
lag_sensitivity,ln_house_price_de_real,8,-2.470166133854704e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,12,1.7932370111054182e-08,positive,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,-1.4324182092049441e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-3.1290871415849986e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,2,-4.7299547533523823e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-7.024708977146188e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-7.272110208165943e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-6.892045383416604e-08,negative,4.0,
cumulative_irf,ln_compensation_ea20_real,0,-4.875537545471965e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,1,4.497233363184258e-09,positive,,
cumulative_irf,ln_compensation_ea20_real,2,5.5790095638193454e-09,positive,,
cumulative_irf,ln_compensation_ea20_real,4,-1.2920595398083446e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,8,-8.553326811260347e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,12,-1.7467914266922454e-07,negative,,
cumulative_irf,ln_ecb_assets_ea_stock,0,3.707807936158248e-07,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,1,6.645337071533497e-07,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,2,1.180640471474179e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,4,1.7116117211820063e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,8,2.0848103974137102e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,12,1.8871038491016753e-06,positive,,
cumulative_irf,ln_hh_loans_ea_stock,0,1.0575135283962145e-08,positive,,
cumulative_irf,ln_hh_loans_ea_stock,1,3.836314784769358e-09,positive,,
cumulative_irf,ln_hh_loans_ea_stock,2,3.2753074712074955e-10,positive,,
cumulative_irf,ln_hh_loans_ea_stock,4,-8.06713691659648e-09,negative,,
cumulative_irf,ln_hh_loans_ea_stock,8,-6.108247677816109e-08,negative,,
cumulative_irf,ln_hh_loans_ea_stock,12,-1.748053882140523e-07,negative,,
cumulative_irf,ln_house_price_de_real,0,1.3833020128862631e-08,positive,,
cumulative_irf,ln_house_price_de_real,1,6.05537734353678e-08,positive,,
cumulative_irf,ln_house_price_de_real,2,1.2130674727703433e-07,positive,,
cumulative_irf,ln_house_price_de_real,4,1.7821609685275025e-07,positive,,
cumulative_irf,ln_house_price_de_real,8,1.9146257768064378e-07,positive,,
cumulative_irf,ln_house_price_de_real,12,2.601818155684834e-07,positive,,
cumulative_irf,ln_nfc_loans_ea_stock,0,7.129894912061861e-09,positive,,
cumulative_irf,ln_nfc_loans_ea_stock,1,-8.69245176357498e-09,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,2,-1.9984516609491657e-08,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,4,-6.682279674730055e-08,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,8,-2.0039508124596007e-07,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,12,-4.4141404592572267e-07,negative,,
regime_interactions,ln_compensation_ea20_real,0,-4.640177890068584e-09,negative,,covid
regime_interactions,ln_compensation_ea20_real,1,1.205261129043276e-07,positive,,covid
regime_interactions,ln_compensation_ea20_real,2,2.670830862924817e-08,positive,,covid
regime_interactions,ln_compensation_ea20_real,4,-1.0060390240554123e-09,negative,,covid
regime_interactions,ln_compensation_ea20_real,8,-3.0723256559756825e-08,negative,,covid
regime_interactions,ln_compensation_ea20_real,12,-9.504588510049168e-15,negative,,covid
regime_interactions,ln_compensation_ea20_real,0,-1.026165439625274e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,1,-3.3821824872635736e-08,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,2,-1.2006608041805238e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,4,-8.995923462333875e-08,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,8,-1.0038006190728313e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,12,-1.2444163152773962e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,0,-1.455064894790355e-07,negative,,qe
regime_interactions,ln_compensation_ea20_real,1,-6.661433206377438e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,2,-5.7987317680938694e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,4,-5.5450358477120985e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,8,-8.381781763709946e-10,negative,,qe
regime_interactions,ln_compensation_ea20_real,12,-2.1961137908409e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,0,1.895064404067843e-08,positive,,tightening
regime_interactions,ln_compensation_ea20_real,1,-1.570314174129306e-07,negative,,tightening
regime_interactions,ln_compensation_ea20_real,2,7.31248715613509e-14,positive,,tightening
regime_interactions,ln_compensation_ea20_real,4,5.707640145499907e-14,positive,,tightening
regime_interactions,ln_compensation_ea20_real,8,1.9853807167059786e-13,positive,,tightening
regime_interactions,ln_compensation_ea20_real,12,-3.2689289441989123e-13,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,0,1.3254121042796053e-07,positive,,covid
regime_interactions,ln_ecb_assets_ea_stock,1,-1.783041613486658e-07,negative,,covid
