Date,Open,High,Low,Close,Volume
2022-05-31,13996.82,14589.45,13380.67,14388.35,0
2022-06-30,14478.37,14709.38,12618.68,12783.77,0
2022-07-31,12627.66,13515.03,12390.95,13484.05,0
2022-08-31,13471.2,13947.85,12758.44,12834.96,0
2022-09-30,12713.75,13564.83,11862.84,12114.36,0
2022-10-31,11951.84,13307.09,11893.94,13253.74,0
2022-11-30,13344.85,14571.66,13022.64,14397.04,0
2022-12-31,14543.8,14675.84,13791.52,13923.59,0
2023-01-31,13992.71,15269.71,13976.44,15128.27,0
2023-02-28,15125.12,15658.56,15107.83,15365.14,0
2023-03-31,15399.91,15706.37,14458.39,15628.84,0
2023-04-30,15623.45,15922.38,15482.88,15922.38,0
2023-05-31,15950.36,16331.94,15629.12,15664.02,0
2023-06-30,15744.01,16427.42,15713.7,16147.9,0
2023-07-31,16187.91,16528.97,15456.16,16446.83,0
2023-08-31,16414.79,16430.66,15468.65,15947.08,0
2023-09-30,15936.34,15989.3,15138.66,15386.58,0
2023-10-31,15439.96,15575.28,14630.21,14810.34,0
2023-11-30,14851.96,16262.96,14786.32,16215.43,0
2023-12-31,16296.92,17003.28,16279.45,16751.64,0
2024-01-31,16828.75,16999.58,16345.02,16903.76,0
2024-02-29,16834.13,17742.48,16821.6,17678.19,0
2024-03-31,17793.47,18513.83,17619.4,18492.49,0
2024-04-30,18492.36,18567.16,17626.9,17932.17,0
2024-05-31,17935.78,18892.92,17875.98,18497.94,1143528221
2024-06-30,18503.79,18784.65,17951.17,18235.45,1331567477
2024-07-31,18236.35,18779.4,18030.49,18508.65,1184268416
2024-08-31,18432.5,18970.71,17024.82,18906.92,1209881318
2024-09-30,18913.53,19491.93,18208.84,19324.93,1393399482
2024-10-31,19409.39,19674.68,18911.72,19077.54,1217253480
2024-11-30,19093.99,19640.15,18812.53,19626.45,1415695757
2024-12-31,19586.17,20522.82,19568.5,19909.14,1114192844
2025-01-31,19923.07,21800.52,19833.82,21732.05,1419143599
2025-02-28,21301.53,22935.06,21252.71,22551.43,1443783102
2025-03-31,22682.95,23476.01,21978.46,22163.49,1953173587
2025-04-30,22343.41,22607.32,18489.91,22496.98,1981434253
2025-05-31,22818.18,24325.97,22764.51,23997.48,1429281479
2025-06-30,23865.38,24479.42,23051.55,23909.61,1260800808
2025-07-31,23966.95,24639.1,23620.42,24065.47,1211987456
2025-08-31,23786.91,24536.11,23380.94,23902.21,1071964709
2025-09-30,24012.04,24046.85,23284.67,23880.72,1218303685
2025-10-31,23755.23,24771.34,23684.37,23954.45,1061560370
2025-11-30,23990.34,24441.28,22943.06,23828.25,1098929112
2025-12-31,23731.29,24527.94,23433.48,24490.41,960581590
2026-01-31,24499.51,25507.79,24266.33,24515.73,1229280387
