dataset,variable,transform,preferred_level_transform,nobs,start,end,adf_c_level_stat,adf_c_level_p,adf_ct_level_stat,adf_ct_level_p,kpss_c_level_stat,kpss_c_level_p,kpss_ct_level_stat,kpss_ct_level_p,pp_c_level_stat,pp_c_level_p,adf_c_diff_p,kpss_c_diff_p,test_notes,classification
quarterly,compensation_ea20_real,first_diff_preferred,log,104,2000-03-31,2025-12-31,-5.3931362843649255,3.50147244705605e-06,-5.370970076782208,4.123358032051149e-05,0.05650501845650378,0.1,0.044073577330720606,0.1,-16.970505577325426,9.166351437218192e-30,7.441960382386862e-09,0.1,,I(0)
quarterly,compensation_ea20_real,yoy_diff_preferred,log,101,2000-12-31,2025-12-31,-3.8672216824902095,0.0022897674673130583,-3.818783892854811,0.015633609644095738,0.04490301396912994,0.1,0.036347867264020534,0.1,-3.645690913534067,0.004945252699868581,1.1548611927593932e-05,0.1,,I(0)
quarterly,compensation_ea20_real,log_level,log,105,1999-12-31,2025-12-31,-0.6180241277921196,0.8668570808949702,-3.992019056770806,0.009026046526573872,1.6380672960318252,0.01,0.07804890001389832,0.1,-1.4329585556812043,0.5663774012815306,3.50147244705605e-06,0.1,,I(1)
quarterly,compensation_ea20_real,log_diff,log,104,2000-03-31,2025-12-31,-5.3931362843649255,3.50147244705605e-06,-5.370970076782208,4.123358032051149e-05,0.05650501845650378,0.1,0.044073577330720606,0.1,-16.970505577325426,9.166351437218192e-30,7.441960382386862e-09,0.1,,I(0)
quarterly,compensation_ea20_real,yoy_log_diff,log,101,2000-12-31,2025-12-31,-3.8672216824902095,0.0022897674673130583,-3.818783892854811,0.015633609644095738,0.04490301396912994,0.1,0.036347867264020534,0.1,-3.645690913534067,0.004945252699868581,1.1548611927593932e-05,0.1,,I(0)
quarterly,dax_close,preferred_level,log,85,2005-03-31,2026-03-31,-0.778052992093196,0.8254839875729834,-3.0023705201902384,0.13141944865044125,1.4494208427936954,0.01,0.0799961058486317,0.1,-0.502884949071806,0.8914522874481641,2.9651955551001606e-15,0.1,,I(1)
quarterly,dax_close,level,log,85,2005-03-31,2026-03-31,0.7986075912869253,0.9916136586634171,-1.2364051436643313,0.9027735501062435,1.369593958407882,0.01,0.20639112668305437,0.01360332749385461,1.6760043848255384,0.9980685911520668,3.4479262383100863e-15,0.1,,I(1)
quarterly,dax_close,first_diff_preferred,log,84,2005-06-30,2026-03-31,-9.134242240297358,2.9651955551001606e-15,-9.08506369260105,2.3329958600268787e-13,0.04453044815429642,0.1,0.0394057939373994,0.1,-9.863433294087603,4.1742267704238066e-17,1.9856982011894025e-06,0.1,,I(0)
quarterly,dax_close,yoy_diff_preferred,log,81,2006-03-31,2026-03-31,-1.985649796639068,0.29290039164996706,-2.0009379728939476,0.6009227168068385,0.07042166984492029,0.1,0.04613910701401459,0.1,-3.261604678677722,0.016684444439715538,1.6625458174145872e-09,0.1,,difference-stationary/ambiguous
quarterly,dax_close,log_level,log,85,2005-03-31,2026-03-31,-0.778052992093196,0.8254839875729834,-3.0023705201902384,0.13141944865044125,1.4494208427936954,0.01,0.0799961058486317,0.1,-0.502884949071806,0.8914522874481641,2.9651955551001606e-15,0.1,,I(1)
quarterly,dax_close,log_diff,log,84,2005-06-30,2026-03-31,-9.134242240297358,2.9651955551001606e-15,-9.08506369260105,2.3329958600268787e-13,0.04453044815429642,0.1,0.0394057939373994,0.1,-9.863433294087603,4.1742267704238066e-17,1.9856982011894025e-06,0.1,,I(0)
quarterly,dax_close,yoy_log_diff,log,81,2006-03-31,2026-03-31,-1.985649796639068,0.29290039164996706,-2.0009379728939476,0.6009227168068385,0.07042166984492029,0.1,0.04613910701401459,0.1,-3.261604678677722,0.016684444439715538,1.6625458174145872e-09,0.1,,difference-stationary/ambiguous
quarterly,dax_real_de,preferred_level,log,84,2005-03-31,2025-12-31,-1.2692792486094628,0.643107319055514,-3.094511035962957,0.10754184854356336,1.368474790171872,0.01,0.07197619660560062,0.1,-1.0349203157878006,0.7403158616670924,7.526283690907232e-15,0.1,,I(1)
quarterly,dax_real_de,level,log,84,2005-03-31,2025-12-31,-0.44060608960103237,0.9030950782826455,-2.5307396287836226,0.31276781097597584,1.3712264551312496,0.01,0.09283073752421599,0.1,0.058350142223654866,0.9630996929708602,2.0917739975356227e-15,0.1,,I(1)
quarterly,dax_real_de,first_diff_preferred,log,83,2005-06-30,2025-12-31,-8.97606918452818,7.526283690907232e-15,-8.921673488658767,5.459743105776628e-13,0.03788518429839538,0.1,0.037159175198356334,0.1,-9.716546712580817,9.795284282444824e-17,2.8638794081152592e-06,0.1,,I(0)
quarterly,dax_real_de,yoy_diff_preferred,log,80,2006-03-31,2025-12-31,-2.135141082125254,0.2306209089110376,-2.084492849032337,0.5547687899615621,0.04922679223839244,0.1,0.04325704070321133,0.1,-3.102545850686921,0.026365356909890107,4.568315100356427e-09,0.1,,difference-stationary/ambiguous
quarterly,dax_real_de,log_level,log,84,2005-03-31,2025-12-31,-1.2692792486094628,0.643107319055514,-3.094511035962957,0.10754184854356336,1.368474790171872,0.01,0.07197619660560062,0.1,-1.0349203157878006,0.7403158616670924,7.526283690907232e-15,0.1,,I(1)
quarterly,dax_real_de,log_diff,log,83,2005-06-30,2025-12-31,-8.97606918452818,7.526283690907232e-15,-8.921673488658767,5.459743105776628e-13,0.03788518429839538,0.1,0.037159175198356334,0.1,-9.716546712580817,9.795284282444824e-17,2.8638794081152592e-06,0.1,,I(0)
quarterly,dax_real_de,yoy_log_diff,log,80,2006-03-31,2025-12-31,-2.135141082125254,0.2306209089110376,-2.084492849032337,0.5547687899615621,0.04922679223839244,0.1,0.04325704070321133,0.1,-3.102545850686921,0.026365356909890107,4.568315100356427e-09,0.1,,difference-stationary/ambiguous
quarterly,retail_de_mom_pct,preferred_level,level,84,2005-03-31,2025-12-31,-4.981156618971778,2.4179916575131765e-05,-5.069953190433016,0.0001531440513453339,0.17839848592185525,0.1,0.088225616116881,0.1,-12.076485875660106,2.2838802598292547e-22,8.127626954652588e-08,0.1,,I(0)
quarterly,retail_de_mom_pct,level,level,84,2005-03-31,2025-12-31,-4.981156618971778,2.4179916575131765e-05,-5.069953190433016,0.0001531440513453339,0.17839848592185525,0.1,0.088225616116881,0.1,-12.076485875660106,2.2838802598292547e-22,8.127626954652588e-08,0.1,,I(0)
quarterly,retail_de_mom_pct,first_diff_preferred,level,83,2005-06-30,2025-12-31,-6.137323964237445,8.127626954652588e-08,-6.123933293163923,1.201457924610295e-06,0.10455908948448364,0.1,0.09153892885986038,0.1,-45.112158679865054,0.0,7.9884985383896e-12,0.1,,I(0)
quarterly,retail_de_mom_pct,yoy_diff_preferred,level,80,2006-03-31,2025-12-31,-4.5130557096442,0.00018623013103691283,-4.641793092247106,0.0008768615077377771,0.14564536100618025,0.1,0.14123646401630408,0.05882136293277022,-18.27994768418643,2.3095319840328903e-30,9.636739903286646e-13,0.1,,I(0)
quarterly,retail_de_chained_index,preferred_level,log,84,2005-03-31,2025-12-31,-0.10868464050370687,0.9485666098820408,-3.0571670082489537,0.11679282742987529,1.3366886245164722,0.01,0.2327056748835579,0.01,-0.00396321610547215,0.9582031010741022,4.183924189294656e-21,0.1,,I(1)
quarterly,retail_de_chained_index,level,log,84,2005-03-31,2025-12-31,-0.10799611762721222,0.9486362420793624,-3.0189512935253418,0.12685949114220224,1.3324840054343123,0.01,0.23456687426982437,0.01,0.0011107084004536305,0.9586238445355805,0.019191194914668176,0.1,,I(1)
quarterly,retail_de_chained_index,first_diff_preferred,log,83,2005-06-30,2025-12-31,-11.514409005700996,4.183924189294656e-21,-11.57153467887246,2.0177030234223208e-18,0.26226034089557704,0.1,0.12847690132585074,0.08245018272990604,-11.29450780856238,1.3541076580439057e-20,4.716015716877985e-10,0.1,,I(0)
quarterly,retail_de_chained_index,yoy_diff_preferred,log,80,2006-03-31,2025-12-31,-1.5304169041007776,0.5184144853228203,-0.9467089204841457,0.9508736329318365,0.29567938043092457,0.1,0.15626990419495776,0.04144174650420186,-4.80552769351904,5.307709421402611e-05,0.0005558094964909854,0.1,,difference-stationary/ambiguous
quarterly,retail_de_chained_index,log_level,log,84,2005-03-31,2025-12-31,-0.10868464050370687,0.9485666098820408,-3.0571670082489537,0.11679282742987529,1.3366886245164722,0.01,0.2327056748835579,0.01,-0.00396321610547215,0.9582031010741022,4.183924189294656e-21,0.1,,I(1)
quarterly,retail_de_chained_index,log_diff,log,83,2005-06-30,2025-12-31,-11.514409005700996,4.183924189294656e-21,-11.57153467887246,2.0177030234223208e-18,0.26226034089557704,0.1,0.12847690132585074,0.08245018272990604,-11.29450780856238,1.3541076580439057e-20,4.716015716877985e-10,0.1,,I(0)
quarterly,retail_de_chained_index,yoy_log_diff,log,80,2006-03-31,2025-12-31,-1.5304169041007776,0.5184144853228203,-0.9467089204841457,0.9508736329318365,0.29567938043092457,0.1,0.15626990419495776,0.04144174650420186,-4.80552769351904,5.307709421402611e-05,0.0005558094964909854,0.1,,difference-stationary/ambiguous
quarterly,hicp_de,preferred_level,log,120,1996-03-31,2025-12-31,1.7252069042505571,0.9981885458579465,-0.8530846391559679,0.9609095773932507,1.7364259728460643,0.01,0.21316135668030228,0.011064491244886643,1.8813578020851123,0.9984974295543904,0.0024540258767222173,0.040570822169928356,,near-I(1)/ambiguous
quarterly,hicp_de,level,log,120,1996-03-31,2025-12-31,2.224253357068598,0.9989018750043498,-0.05752632436932487,0.9936018408022231,1.6811538708393552,0.01,0.2633968716374784,0.01,2.6134533359090653,0.9990775224265979,0.00517530001730178,0.020175041123442775,,near-I(1)/ambiguous
quarterly,hicp_de,first_diff_preferred,log,119,1996-06-30,2025-12-31,-3.847845546420738,0.0024540258767222173,-4.347836940351573,0.002648635138987131,0.5048655495655181,0.040570822169928356,0.12890176458479138,0.08166339891705299,-8.264963092354217,4.966784318165927e-13,5.960173373215367e-07,0.1,,trend-stationary
quarterly,hicp_de,yoy_diff_preferred,log,116,1997-03-31,2025-12-31,-2.803137087701604,0.057827052800469333,-3.2124189446237854,0.08195535528263614,0.3934568294244012,0.07997550455844776,0.1007322017214379,0.1,-2.2150549961430075,0.2008268062961625,4.781012731493448e-08,0.1,,difference-stationary/ambiguous
quarterly,hicp_de,log_level,log,120,1996-03-31,2025-12-31,1.7252069042505571,0.9981885458579465,-0.8530846391559679,0.9609095773932507,1.7364259728460643,0.01,0.21316135668030228,0.011064491244886643,1.8813578020851123,0.9984974295543904,0.0024540258767222173,0.040570822169928356,,near-I(1)/ambiguous
quarterly,hicp_de,log_diff,log,119,1996-06-30,2025-12-31,-3.847845546420738,0.0024540258767222173,-4.347836940351573,0.002648635138987131,0.5048655495655181,0.040570822169928356,0.12890176458479138,0.08166339891705299,-8.264963092354217,4.966784318165927e-13,5.960173373215367e-07,0.1,,trend-stationary
quarterly,hicp_de,yoy_log_diff,log,116,1997-03-31,2025-12-31,-2.803137087701604,0.057827052800469333,-3.2124189446237854,0.08195535528263614,0.3934568294244012,0.07997550455844776,0.1007322017214379,0.1,-2.2150549961430075,0.2008268062961625,4.781012731493448e-08,0.1,,difference-stationary/ambiguous
quarterly,hicp_ea20,preferred_level,log,105,1999-12-31,2025-12-31,0.3519835786742967,0.9796077173579202,-2.229165113242668,0.47345549944357956,1.5283412877356943,0.01,0.15161887728161114,0.045317602265324046,0.3662337517912885,0.9801873300129815,0.11494199887755752,0.1,,unclear
quarterly,hicp_ea20,level,log,105,1999-12-31,2025-12-31,0.7854784338004859,0.9913981095934259,-3.2466292347462726,0.07550421661223797,1.4984953337611548,0.01,0.20846360405912467,0.012826148477828246,1.2191848214233656,0.9961157884861394,0.13703196605047668,0.1,,unclear
