variable,transform,event_date,growth_or_diff_at_event,pre_2020_mean,pre_2020_sd,event_zscore_vs_pre2020
house_price_de,log,2012-09-30,0.003787883316936913,0.007918550164216935,0.009669863621976143,-0.4271690903574372
house_price_de,log,2020-06-30,0.01769957709940151,0.007918550164216935,0.009669863621976143,1.0114958511882004
house_price_de,log,2022-09-30,-0.006651341993865856,0.007918550164216935,0.009669863621976143,-1.5067319176012612
house_price_de_real,log,2008-12-31,0.014119918058669967,0.004111364800070459,0.010311974181582546,0.9705758647529437
house_price_de_real,log,2012-09-30,-0.0003225158936537298,0.004111364800070459,0.010311974181582546,-0.42997399097868333
house_price_de_real,log,2020-06-30,0.009367315480855787,0.004111364800070459,0.010311974181582546,0.5096939333083855
house_price_de_real,log,2022-09-30,-0.02724593960647237,0.004111364800070459,0.010311974181582546,-3.0408633550060467
compensation_ea20_nominal,log,2008-12-31,0.002757960858424724,0.005288583060288546,0.0023842312578945687,-1.0613996412825013
compensation_ea20_nominal,log,2012-09-30,0.00302504292078698,0.005288583060288546,0.0023842312578945687,-0.9493794412797102
compensation_ea20_nominal,log,2020-06-30,-0.042602998178526086,0.005288583060288546,0.0023842312578945687,-20.086802016473023
compensation_ea20_nominal,log,2022-09-30,0.014971577007322878,0.005288583060288546,0.0023842312578945687,4.061264575310134
compensation_ea20_real,log,2008-12-31,0.005308708257801165,0.0009343783197446664,0.006190424042836677,0.7066284809872284
compensation_ea20_real,log,2012-09-30,0.004203085495287695,0.0009343783197446664,0.006190424042836677,0.5280263763716562
compensation_ea20_real,log,2020-06-30,-0.05014797469876697,0.0009343783197446664,0.006190424042836677,-8.251834230584285
compensation_ea20_real,log,2022-09-30,-0.002377837706559305,0.0009343783197446664,0.006190424042836677,-0.5350547883931702
dax_close,log,2008-12-31,-0.19245327888271824,0.01888186078243219,0.09680831390031983,-2.1830267582467653
dax_close,log,2012-09-30,0.11748305917422996,0.01888186078243219,0.09680831390031983,1.018519943373087
dax_close,log,2020-06-30,0.21433906367553135,0.01888186078243219,0.09680831390031983,2.01901257256019
dax_close,log,2022-09-30,-0.05378487182381164,0.01888186078243219,0.09680831390031983,-0.7506249172056261
dax_real_de,log,2008-12-31,-0.18531593283518077,0.015074675418285742,0.09704616821734847,-2.0648997475579223
dax_real_de,log,2012-09-30,0.11337265996363932,0.015074675418285742,0.09704616821734847,1.0128991834608192
dax_real_de,log,2020-06-30,0.20600680205698474,0.015074675418285742,0.09704616821734847,1.9674360167531786
dax_real_de,log,2022-09-30,-0.07437946943641727,0.015074675418285742,0.09704616821734847,-0.9217689528385906
retail_de_mom_pct,level,2008-12-31,-1.066666666666667,-0.0050847457627118745,0.8238730503173156,-1.288526090876605
retail_de_mom_pct,level,2012-09-30,-0.4,-0.0050847457627118745,0.8238730503173156,-0.4793399348178534
retail_de_mom_pct,level,2020-06-30,2.0,-0.0050847457627118745,0.8238730503173156,2.4337302269936503
retail_de_mom_pct,level,2022-09-30,2.599999999999997,-0.0050847457627118745,0.8238730503173156,3.1619977674465227
retail_de_chained_index,log,2008-12-31,0.006070363351935448,0.002511241989942346,0.009480872621035728,0.3754001877523685
retail_de_chained_index,log,2012-09-30,-0.0034394797840855418,0.002511241989942346,0.009480872621035728,-0.6276554924727812
retail_de_chained_index,log,2020-06-30,0.008315935887574177,0.002511241989942346,0.009480872621035728,0.6122531258096054
retail_de_chained_index,log,2022-09-30,-0.003019985071445852,0.002511241989942346,0.009480872621035728,-0.5834090681817372
hicp_de,log,2008-12-31,-0.007137346047541904,0.0035724342234156516,0.0051029448457324605,-2.0987450569672594
hicp_de,log,2012-09-30,0.0041103992105941956,0.0035724342234156516,0.0051029448457324605,0.10542245770663941
hicp_de,log,2020-06-30,0.008332261618543058,0.0035724342234156516,0.0051029448457324605,0.9327608937627456
hicp_de,log,2022-09-30,0.020594597612602072,0.0035724342234156516,0.0051029448457324605,3.3357529630017217
hicp_ea20,log,2008-12-31,-0.0025507473993693353,0.004276964802186067,0.006367097363752027,-1.072342986370157
hicp_ea20,log,2012-09-30,-0.0011780425745024914,0.004276964802186067,0.006367097363752027,-0.856749483327205
hicp_ea20,log,2020-06-30,0.007544976520236446,0.004276964802186067,0.006367097363752027,0.513265548074577
hicp_ea20,log,2022-09-30,0.01734941471388307,0.004276964802186067,0.006367097363752027,2.0531254926489173
ecb_total_assets,log,2008-12-31,0.3193033855271352,0.08775718746754055,0.14920650253188542,1.5518505837915024
ecb_monetary_policy_securities,level,2008-12-31,0.0,131601.25,267631.3914437021,-0.49172576240064547
