"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2000-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,89.6,89.8,NA,NA,NA
2000-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4,89.67,89.87,NA,NA,NA
2000-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,90.06,90.23,NA,NA,NA
2000-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,90.11,90.25,NA,NA,NA
2000-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.6,90.3,90.43,NA,NA,NA
2000-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,90.64,90.77,NA,NA,NA
2001-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,90.26,90.38,NA,NA,NA
2001-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,90.54,90.65,NA,NA,NA
2001-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.6,91.02,91.13,NA,NA,NA
2001-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,91.57,91.68,NA,NA,NA
2001-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,92.01,92.11,NA,NA,NA
2001-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,92.15,92.24,NA,NA,NA
2001-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7,91.93,92.03,NA,NA,NA
2001-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,91.86,91.95,NA,NA,NA
2001-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3,92.11,92.21,NA,NA,NA
2001-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,92.19,92.28,NA,NA,NA
