"date","wx_shadow_rate","dfr_avg","dfr_eop","hh_loans_ea_stock","nfc_loans_ea_stock","credit_standards_enterprise","credit_standards_household","house_price_de","compensation_ea20_nominal","dax_close","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","ecb_total_assets","ecb_monetary_policy_securities","house_price_de_real","compensation_ea20_real","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2003-03-31,NA,NA,NA,3457164,3002978,59,19,NA,72.37,NA,NA,NA,96.2666666666667,95.0833333333333,95.1366666666667,NA,NA,NA,76.1121822962314,NA,3591236.84210526,3119436.98060942
2003-06-30,NA,NA,NA,3520015,3028467,46,14,NA,72.78,NA,NA,NA,96.2,95.72,95.7733333333333,NA,NA,NA,76.0342666109486,NA,3659059.25155925,3148094.59459459
2003-09-30,NA,NA,NA,3585491,3029954,28,3,NA,73.68,NA,NA,NA,96.5333333333333,95.85,95.8966666666667,NA,NA,NA,76.8701095461659,NA,3714251.72651934,3138764.50276243
2003-12-31,NA,NA,NA,3658020,3059017,23,9,NA,73.74,NA,NA,NA,96.5333333333333,96.39,96.4366666666667,834796,0,NA,76.5017117958294,NA,3789385.35911602,3168871.20165746
2004-03-31,NA,NA,NA,3704549,3076809,15,12,NA,74.25,NA,NA,NA,97.2666666666667,96.7466666666667,96.7666666666667,NA,NA,NA,76.7468302094818,NA,3808652.15901302,3163271.76148047
2004-06-30,NA,NA,NA,3819855,3113973,13,11,NA,74.69,NA,NA,NA,98.0333333333333,97.95,97.9666666666667,NA,NA,NA,76.253190403267,NA,3896485.88915335,3176443.0465828
2004-09-30,2.04473600851825,NA,NA,3892603,3124182,0,-4,NA,74.94,NA,NA,NA,98.4333333333333,98.0466666666667,98.06,NA,NA,NA,76.4329910926769,NA,3954557.73789367,3173906.53572638
2004-12-31,2.12639966172862,NA,NA,3977532,3176546,-3,-3,NA,75.31,NA,NA,NA,98.6,98.6466666666667,98.66,884324,0,NA,76.3431776711496,NA,4034008.11359026,3221649.0872211
2005-03-31,2.0062774113002,1,1,4034733,3211693,-2,-1,97.4609,75.62,4348.77,0.333333333333333,101.316824933333,99,98.7466666666667,98.7533333333333,NA,NA,98.4453535353535,76.5798001620308,4392.69696969697,4075487.87878788,3244134.34343434
2005-06-30,2.08383010677841,1,1,4155562,3299954,-10,-7,96.8822,76.06,4586.28,-0.0333333333333333,100.537375073765,99.6666666666667,99.9533333333333,99.9566666666667,NA,NA,97.206220735786,76.095511238578,4601.61872909699,4169460.2006689,3310990.6354515
2005-09-30,2.06646997124406,1,1,4241988,3338730,-16,2,96.7467,76.49,5044.12,-0.0333333333333333,101.004960546023,100.533333333333,100.323333333333,100.323333333333,NA,NA,96.2334549071618,76.2434794165531,5017.36074270557,4219484.08488064,3321017.90450928
2005-12-31,2.26601002058462,1.06989247311828,1.08333333333333,4350383,3427835,2,-8,96.817,77.17,5408.25,0.1,101.036424237652,100.833333333333,100.976666666667,100.966666666667,1038616,0,96.0168595041322,76.4235962103456,5363.55371900826,4314429.4214876,3399505.78512397
2006-03-31,2.37580044289327,1.31451612903226,1.33333333333333,4432832,3541635,-4,2,95.8,77.4,5970.08,-0.1,100.968135934445,101,101.066666666667,101.046666666667,NA,NA,94.8514851485149,76.5831134564644,5910.9702970297,4388942.57425743,3506569.30693069
2006-06-30,2.70247420722214,1.54444444444444,1.58333333333333,4549542,3656553,-9,-9,97.3,77.95,5683.31,0.466666666666667,101.775664698588,101.766666666667,102.446666666667,102.413333333333,NA,NA,95.6108745496233,76.0883711850068,5584.64788732394,4470562.07009499,3593075.33573534
2006-09-30,3.18546591358758,1.89516129032258,1.91666666666667,4632651,3746904,0,-3,98.1,78.4,6004.33,-0.733333333333333,100.782854523114,102.166666666667,102.526666666667,102.493333333333,NA,NA,96.0195758564437,76.4679107874374,5876.99510603589,4534405.54649266,3667442.7406199
2006-12-31,3.43166869773909,2.2741935483871,2.33333333333333,4730536,3864259,1,-1,97.1,78.9,6596.91,1.8,102.24611320406,102.133333333333,102.803333333333,102.763333333333,1150030,0,95.0718015665796,76.7484841606952,6459.11553524804,4631725.84856397,3783543.4073107
2007-03-31,3.63439945752357,2.54838709677419,2.58333333333333,4809155.73,3981182.02,0,-6,96.6,79.28,6917.02,-1.33333333333333,100.399679724558,102.9,102.99,102.94,NA,NA,93.8775510204082,76.9783474123701,6722.07968901846,4673620.72886297,3868981.55490768
2007-06-30,3.83720995647597,2.8,2.83333333333333,4901992.18,4132743.04,-4,-5,96.5,79.76,8007.31,-0.3,100.856793345082,103.766666666667,104.403333333333,104.35,NA,NA,92.997108898169,76.3960282238754,7716.64953421137,4724052.85576614,3982726.99004176
2007-09-30,3.86215980684755,3,3,4976147.7,4257073.8,-3,-1,97.1,80.28,7861.5,0.0666666666666667,100.017263664348,104.4,104.49,104.423333333333,NA,NA,93.007662835249,76.8303186907838,7530.1724137931,4766425,4077656.89655172
2007-12-31,3.89869369967772,3,3,5053583.82,4424368.69,31,12,97.3,81.09,8067.31,-0.333333333333333,99.3826443993359,105.266666666667,105.826666666667,105.733333333333,1507887,0,92.4319189360355,76.6252992314477,7663.68904369854,4800744.60417986,4203010.1551615
