response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_compensation_ea20_real,qe,1,-6.661433206377438e-08,4.921258896693366e-08,-1.3536034876875327,0.1758629136293655,-1.475618375177072e-07,1.4333173390158416e-08,-1.1555417911510289e-07,-1.767448501244588e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_compensation_ea20_real,qe,2,-5.798731768093869e-08,4.767884989969272e-08,-1.216206301178259,0.22390634396459957,-1.3641204686732306e-07,2.0437411505445697e-08,-1.0540192582606266e-07,-1.0572709535814707e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_compensation_ea20_real,qe,4,-5.545035847712098e-08,5.671038192288936e-08,-0.9777814325517739,0.3281824361326127,-1.487306358687887e-07,3.782991891454675e-08,-1.1184644484017418e-07,9.457278859322303e-10,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_compensation_ea20_real,qe,8,-8.381781763709947e-10,3.895613403597489e-08,-0.02151594856915116,0.98283408128961,-6.491531653745196e-08,6.323896018470998e-08,-3.9578412767822004e-08,3.7902056415080014e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_compensation_ea20_real,qe,12,-2.1961137908409002e-08,4.70297994197443e-08,-0.46696218523928384,0.6405269330896712,-9.931827405877562e-08,5.539599824195762e-08,-6.87302926871472e-08,2.4808016870329197e-08,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_compensation_ea20_real,tightening,0,1.8950644040678434e-08,1.0511026615812925e-07,0.18029298881394554,0.8569225595992864,-1.5394035847935497e-07,1.9184164656071185e-07,-8.557708874654856e-08,1.234783768279054e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_compensation_ea20_real,tightening,1,-1.570314174129306e-07,5.439672481437831e-08,-2.8867807381561983,0.0038920535482002607,-2.465060675181419e-07,-6.755676730771933e-08,-2.1112666922538072e-07,-1.0293616560048048e-07,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_compensation_ea20_real,tightening,2,7.31248715613509e-14,4.0721111396097755e-14,1.7957484227298952,0.07253453692672648,6.144603787984611e-15,1.401051393347172e-13,3.262944132043897e-14,1.1362030180226285e-13,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_compensation_ea20_real,tightening,4,5.707640145499907e-14,2.0084056652950114e-14,2.841876142916337,0.004484891153183668,2.4041068025495247e-14,9.011173488450289e-14,3.710365298964154e-14,7.70491499203566e-14,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_compensation_ea20_real,tightening,8,1.9853807167059786e-13,9.805856847214878e-14,2.0246886607057486,0.042899343715580636,3.7246079665514713e-14,3.59830063675681e-13,1.0102295523720613e-13,2.960531881039896e-13,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
